seismic_zone,ground_acceleration_g,p_wave_velocity_kms,s_wave_velocity_kms,recent_quakes_30d,max_recent_magnitude,fault_distance_km,soil_type,building_age_years,bedrock_depth_m,historical_count_5y,population_density,hour_of_day,month,risk_level
3,0.921,5.04,2.93,2,3.1,82.9,2,59,10.4,13,2381.0,7,8,1
4,0.266,4.47,2.83,9,3.4,31.4,4,29,31.3,15,2524.0,11,4,2
4,0.471,4.86,2.95,6,5.9,171.8,3,66,68.5,19,3301.0,19,4,2
3,0.003,4.59,2.61,6,3.9,78.1,4,68,32.9,16,4825.0,15,11,2
4,0.129,4.09,3.24,7,3.2,62.7,2,60,94.1,18,1961.0,19,4,2
5,0.244,4.89,2.88,7,4.2,73.1,3,42,42.3,28,2552.0,8,5,2
4,0.205,5.13,2.65,10,5.1,210.1,3,22,28.8,24,4243.0,9,12,2
2,0.095,4.65,3.06,8,3.7,99.4,4,38,34.4,13,3413.0,13,2,1
2,0.29,5.6,3.48,2,3.8,123.8,2,65,155.6,13,3960.0,11,11,0
5,0.499,4.95,3.03,12,6.6,242.1,4,75,27.3,21,362.0,5,3,3
2,0.423,5.16,3.36,3,2.1,146.0,4,9,117.0,9,2589.0,23,11,1
2,0.259,5.21,2.61,1,3.5,109.9,4,77,30.2,9,4587.0,10,7,0
3,0.196,5.11,2.76,6,3.3,74.9,1,80,68.9,14,4213.0,13,12,1
4,0.17,5.1,3.47,6,2.9,59.7,3,92,57.4,23,4555.0,23,5,2
3,0.042,4.89,3.1,4,3.6,130.2,3,51,77.3,8,4254.0,9,5,1
5,1.082,4.55,2.8,11,4.5,53.2,4,62,31.7,23,3268.0,2,8,3
2,0.376,4.95,2.97,7,2.1,32.1,3,69,13.0,11,5017.0,9,5,2
2,0.093,4.15,2.75,6,3.9,132.2,3,49,9.6,6,1144.0,1,12,1
3,0.138,5.07,2.79,6,2.7,124.4,4,14,66.1,22,6193.0,22,6,2
4,0.533,5.06,3.02,12,5.9,272.0,2,69,34.3,25,520.0,6,12,2
2,0.009,5.34,2.7,7,3.4,198.8,2,14,70.3,9,5008.0,13,12,0
4,0.698,4.85,3.36,10,5.2,88.2,3,61,19.5,23,924.0,0,2,2
2,0.058,4.99,2.62,1,3.0,18.0,4,50,35.7,6,4030.0,0,3,1
5,0.346,4.96,3.3,7,6.7,102.7,2,20,58.1,25,548.0,0,10,2
4,0.091,4.76,2.98,8,2.5,108.6,1,85,67.4,23,1245.0,5,2,1
4,2.65,4.56,2.77,6,3.9,40.8,3,81,16.1,16,2843.0,11,1,3
3,0.306,4.8,2.99,7,4.0,177.0,2,72,61.3,17,3149.0,21,10,1
2,0.304,3.96,3.06,1,2.1,212.7,3,79,59.5,10,3288.0,19,5,0
4,0.247,5.38,2.63,14,5.2,154.0,3,48,74.6,23,6005.0,22,10,2
5,0.137,5.88,3.14,8,3.6,162.1,1,2,54.0,28,783.0,19,1,2
3,0.015,4.34,3.11,2,4.8,58.2,4,75,37.2,11,2475.0,5,10,1
3,0.151,5.19,2.76,4,2.5,84.3,1,25,95.4,24,905.0,20,7,1
2,0.275,4.49,3.15,1,2.2,162.7,2,92,90.5,14,4875.0,5,2,0
4,1.233,5.21,2.75,4,3.7,82.9,4,65,54.0,18,1112.0,20,10,2
3,0.334,5.58,2.33,3,4.6,93.0,3,69,31.0,16,4078.0,3,11,2
4,0.69,5.2,2.82,10,5.3,231.2,4,81,31.0,28,3093.0,2,3,2
4,0.098,4.79,3.53,10,2.9,43.9,3,5,62.7,24,1471.0,9,7,2
3,0.03,5.27,2.69,8,5.0,81.7,1,72,20.0,11,3411.0,13,2,1
2,0.134,3.98,2.59,5,3.2,94.4,2,89,65.6,12,2912.0,17,8,0
2,0.313,4.79,2.94,2,2.7,254.0,2,70,31.3,5,525.0,2,1,0
4,0.032,4.94,3.03,4,2.2,117.3,1,41,15.6,20,2170.0,11,1,1
3,0.078,4.64,2.94,3,3.4,123.2,3,37,33.9,15,2376.0,19,7,1
4,0.13,4.58,2.84,13,2.3,114.1,3,62,25.7,15,835.0,13,11,2
5,0.257,5.25,2.73,12,2.4,91.2,4,94,117.0,27,5215.0,22,4,3
3,0.099,5.08,2.71,7,3.3,121.0,4,63,46.0,19,4126.0,19,12,2
3,0.636,4.94,3.29,5,3.4,67.2,2,9,48.8,19,6399.0,22,9,2
4,0.15,4.87,2.59,10,2.4,190.6,3,72,61.0,23,2977.0,15,5,2
5,0.18,5.21,2.98,11,6.0,47.8,2,31,21.0,28,3246.0,6,1,2
3,0.431,4.83,3.11,3,4.4,105.1,4,42,71.3,13,3409.0,18,12,2
2,0.064,5.01,2.93,5,3.3,89.0,1,25,81.9,14,3847.0,16,8,0
2,0.243,5.25,3.66,2,2.3,109.4,4,20,8.3,5,4085.0,15,12,0
5,0.247,4.95,2.23,5,4.1,30.9,3,61,18.9,28,3102.0,17,8,2
5,0.278,4.7,2.63,7,4.8,98.2,1,50,65.2,21,2176.0,18,12,2
5,0.122,4.68,3.18,18,6.9,52.2,4,80,46.6,26,5140.0,1,12,3
4,0.569,5.52,2.84,3,4.6,112.1,3,96,44.4,22,1434.0,3,4,2
3,0.764,5.63,2.53,5,4.5,34.6,2,43,74.2,21,4371.0,4,4,2
2,0.993,5.55,2.96,2,2.8,73.8,2,54,64.5,8,3470.0,8,10,1
3,0.156,5.07,2.85,8,2.0,77.7,4,23,34.1,12,5430.0,15,5,2
3,0.989,4.35,3.4,7,4.1,98.6,1,10,17.3,16,3143.0,22,3,2
3,0.035,4.45,2.86,3,2.8,73.4,4,16,140.4,15,1905.0,7,9,2
3,0.18,4.73,2.81,3,4.1,113.0,1,26,46.8,13,5497.0,7,4,1
4,0.058,4.85,2.08,8,5.4,133.2,1,93,52.7,15,1261.0,6,2,1
3,0.099,5.64,2.67,4,3.5,149.1,1,19,33.7,18,4597.0,4,11,1
3,0.002,4.86,3.3,7,3.5,75.7,3,31,41.7,20,5678.0,23,1,2
3,1.136,5.09,2.87,7,2.7,108.1,4,52,36.5,17,5644.0,4,2,2
3,0.591,5.68,3.11,11,3.9,108.8,4,93,24.4,24,459.0,14,8,2
4,0.683,4.77,2.7,7,3.2,36.1,4,30,35.8,13,4422.0,21,4,3
4,0.103,4.67,2.89,9,5.7,97.6,2,96,58.5,20,4046.0,19,10,2
3,0.131,5.08,2.88,4,2.3,71.1,4,74,16.4,18,2273.0,2,6,2
3,0.137,5.43,3.43,8,4.6,94.9,1,51,43.5,9,6124.0,0,4,1
2,0.474,5.38,3.25,3,3.6,171.4,4,14,53.9,15,6441.0,19,11,1
3,0.145,4.49,3.35,4,4.2,139.3,4,36,39.3,10,2961.0,15,10,1
3,0.692,5.22,3.3,5,2.0,49.9,4,78,57.1,15,4392.0,4,3,2
4,1.059,4.81,2.86,7,5.8,115.9,4,54,53.7,14,602.0,0,5,2
3,0.117,5.68,2.25,3,4.6,72.9,4,20,42.9,20,1548.0,15,10,2
4,0.064,4.41,3.23,8,2.3,90.9,4,94,41.2,22,2167.0,11,8,2
5,0.397,4.31,3.12,9,2.7,122.1,1,49,68.0,20,4502.0,6,7,2
4,0.203,4.86,3.37,10,5.0,44.7,2,64,101.4,16,2020.0,0,10,2
4,0.338,4.62,2.95,7,3.6,108.0,3,42,18.3,22,4438.0,21,7,2
4,0.169,4.74,3.19,9,3.4,172.5,1,83,30.4,20,2480.0,0,8,1
2,0.219,5.44,2.96,2,2.2,65.6,1,63,43.9,9,2754.0,13,7,0
5,0.367,5.71,2.82,8,3.9,150.8,2,74,27.0,29,476.0,20,12,2
3,0.472,4.81,2.67,4,3.0,101.8,1,81,31.4,16,2353.0,10,1,1
2,0.224,4.27,2.98,6,2.7,119.9,1,5,36.4,12,1159.0,3,11,0
3,0.307,5.02,3.29,4,2.7,115.1,3,58,104.9,14,4828.0,3,12,1
3,0.043,4.07,2.61,4,4.8,111.4,3,55,65.9,10,1074.0,9,3,1
3,0.072,5.43,3.12,5,4.8,85.6,1,9,56.7,13,1470.0,10,12,1
4,0.424,5.76,2.74,7,4.8,36.8,2,70,48.4,16,4744.0,1,10,2
3,0.979,4.56,3.6,12,4.2,148.1,2,12,25.7,12,4602.0,8,8,2
5,0.643,5.37,3.27,13,7.0,133.6,3,27,89.4,26,1529.0,16,3,3
3,0.084,5.05,3.24,5,3.8,98.9,3,17,35.2,19,645.0,0,10,1
3,0.04,4.47,3.19,8,2.3,141.4,4,96,52.1,14,2102.0,12,6,2
3,0.395,4.31,3.09,5,3.1,132.6,2,77,68.6,16,1400.0,7,2,1
4,0.377,4.87,2.91,4,3.3,86.4,1,6,42.1,14,3072.0,22,2,2
2,1.09,5.46,3.12,6,2.2,192.8,1,88,73.3,9,4863.0,13,3,1
3,0.42,5.28,3.08,5,4.8,165.0,2,68,17.5,13,4616.0,15,7,1
5,0.917,4.37,3.04,8,2.6,58.9,2,26,97.3,18,2954.0,4,11,2
3,0.08,4.26,3.01,5,3.6,62.5,4,51,41.9,13,2293.0,13,1,2
4,0.06,5.13,2.57,11,2.5,220.0,2,44,66.0,20,1830.0,4,10,2
5,0.796,4.64,2.85,10,7.0,102.2,3,25,21.1,29,2618.0,12,1,2
4,0.001,5.27,3.03,4,2.7,174.2,3,88,104.6,21,4594.0,3,9,1
5,0.225,4.46,3.2,13,2.1,109.5,2,18,60.8,30,2746.0,7,2,2
5,0.45,5.66,3.11,7,2.5,63.2,1,8,50.2,19,3105.0,7,9,2
3,0.153,4.65,2.72,10,2.9,79.1,2,90,32.2,16,4424.0,4,3,1
5,1.027,4.56,3.16,15,6.6,123.5,2,33,16.4,19,4625.0,10,4,2
3,0.103,4.29,3.36,2,2.3,19.9,3,45,16.8,19,5560.0,9,1,2
5,0.409,4.18,3.27,8,3.5,177.5,4,67,27.9,34,1256.0,2,3,2
5,0.276,5.51,2.84,9,3.0,116.1,4,47,78.5,15,612.0,13,8,2
2,0.162,5.1,3.14,1,3.4,57.5,3,46,72.1,7,6167.0,12,2,0
4,0.08,4.22,3.15,11,2.1,139.0,4,33,32.2,18,4902.0,19,9,2
2,0.423,4.42,3.2,1,2.6,134.4,3,73,25.7,14,1241.0,3,5,0
3,0.26,4.67,3.14,11,4.4,122.2,3,69,55.0,20,1840.0,18,2,2
5,0.975,5.22,2.54,14,4.7,39.4,4,8,44.4,17,849.0,23,4,3
4,0.22,3.79,2.57,5,5.8,76.5,2,5,48.7,18,1603.0,20,7,1
5,0.737,5.69,3.29,10,4.0,107.1,2,8,23.5,17,1151.0,12,9,2
2,0.029,5.85,2.92,3,3.0,32.2,1,93,50.5,7,1593.0,4,9,1
2,0.31,5.23,3.2,4,3.0,63.8,2,23,27.2,6,4573.0,0,10,1
3,0.658,5.47,3.59,7,4.6,79.9,4,23,56.1,10,3008.0,7,3,2
3,0.288,5.07,2.98,4,2.6,60.4,3,86,35.1,11,3431.0,8,11,1
4,0.238,5.49,2.77,13,3.4,93.0,2,11,24.5,18,5156.0,18,5,2
2,0.226,5.07,2.95,4,3.1,137.3,1,13,40.6,6,1510.0,1,10,0
5,0.379,5.0,3.94,8,5.8,34.2,2,21,60.7,34,2417.0,22,12,2
4,0.324,4.98,2.86,14,2.1,78.7,1,32,61.6,17,1851.0,6,11,2
4,0.56,5.84,3.71,9,4.2,56.2,3,88,87.6,14,3898.0,2,11,2
4,0.16,4.64,2.82,13,3.9,92.0,3,33,52.8,18,2804.0,10,4,2
4,0.442,4.91,3.23,7,2.0,96.0,4,28,72.0,20,3147.0,18,10,2
5,0.788,4.62,3.26,13,3.5,101.4,4,89,42.1,20,3483.0,5,4,3
3,0.335,5.62,2.9,7,3.6,118.3,3,1,32.7,11,4100.0,22,11,2
4,0.259,5.8,2.9,11,2.4,120.5,1,50,42.5,22,1768.0,5,7,2
5,0.264,4.68,3.31,11,6.7,105.4,4,15,54.1,21,3010.0,17,11,2
2,0.203,4.91,3.16,3,2.7,62.0,2,22,43.9,9,4548.0,1,2,0
3,0.869,5.3,3.15,7,4.7,80.0,3,2,49.8,13,3347.0,11,4,2
3,0.349,5.09,3.1,6,2.9,116.6,4,7,73.8,20,2488.0,0,6,2
4,0.137,4.73,2.69,9,2.7,106.4,2,95,108.9,15,2913.0,3,6,1
2,0.035,5.06,3.2,2,2.1,156.3,4,3,9.2,5,2210.0,9,10,0
2,0.129,4.78,2.78,2,4.0,19.7,4,27,8.7,6,5483.0,7,11,1
5,0.427,5.01,3.39,14,3.5,89.4,2,13,48.6,19,314.0,14,3,2
4,0.039,4.0,3.34,9,4.8,135.7,2,2,142.3,30,4086.0,8,7,1
4,0.579,4.54,3.06,11,3.6,60.7,4,9,81.3,21,3597.0,14,9,3
4,0.072,3.88,3.01,13,5.6,200.0,3,62,63.8,13,5066.0,7,3,2
4,0.91,5.22,2.75,9,2.4,191.8,2,42,26.6,13,1160.0,5,6,2
3,0.297,5.7,2.64,5,3.7,50.4,3,45,72.8,16,1450.0,17,4,1
3,0.04,4.4,2.93,5,3.7,63.6,3,8,16.4,18,6212.0,11,2,1
3,0.065,4.27,2.69,4,4.2,32.8,1,8,23.0,13,2011.0,0,12,1
4,0.306,5.01,2.83,7,5.2,276.5,1,4,94.3,20,226.0,15,1,2
4,0.274,4.92,2.68,6,5.4,183.6,1,55,29.9,17,2563.0,15,3,1
2,0.213,5.13,2.91,3,3.7,88.7,3,38,45.6,9,3270.0,11,9,1
2,0.007,4.53,3.43,6,3.2,6.3,1,28,23.1,10,3026.0,6,5,1
4,0.245,5.04,2.65,5,3.1,89.2,4,25,95.0,16,5059.0,2,2,2
5,0.495,5.41,2.95,18,3.4,30.5,2,48,19.4,28,2605.0,7,6,3
5,0.165,4.59,3.26,10,5.0,94.3,1,64,37.9,23,848.0,0,3,2
4,0.009,4.44,3.07,3,2.8,141.7,1,12,21.3,12,4455.0,12,8,1
5,0.304,5.38,2.72,4,3.5,69.0,4,69,15.1,27,4360.0,14,7,2
4,0.218,5.31,2.43,10,2.2,217.2,3,29,47.8,15,4588.0,14,5,2
3,0.551,5.38,3.11,5,3.7,13.7,4,22,54.9,20,4392.0,14,2,3
4,0.536,5.16,3.2,10,3.2,75.2,2,93,77.6,20,3123.0,10,2,2
3,0.158,4.52,2.98,7,2.9,105.4,3,95,74.8,13,3903.0,1,10,1
4,0.457,4.5,3.2,14,2.8,69.3,1,36,49.5,21,2488.0,19,9,2
3,0.788,5.03,2.57,4,2.8,30.5,3,98,42.2,11,4169.0,21,9,2
4,0.132,4.78,2.68,9,4.4,131.8,1,92,15.3,21,3315.0,0,10,1
2,0.632,5.47,2.92,4,2.6,104.3,3,11,53.2,8,4587.0,7,5,1
3,0.17,4.85,2.39,7,2.1,157.5,3,83,65.9,12,3596.0,9,6,1
2,0.153,5.32,2.81,3,3.4,29.6,4,6,53.1,11,1920.0,5,7,1
4,0.768,5.08,3.12,8,5.0,168.4,1,58,56.4,19,1685.0,18,12,2
2,0.186,5.55,3.13,7,2.4,57.1,1,73,50.4,7,3372.0,20,12,1
5,0.268,5.16,3.38,5,6.9,71.5,1,46,33.2,30,5058.0,22,5,2
3,0.002,5.11,2.69,8,4.7,85.2,2,98,41.6,15,5122.0,21,10,1
2,0.06,4.64,3.09,1,2.6,66.5,3,83,45.9,15,1455.0,22,12,0
4,0.098,4.83,2.98,8,3.1,84.9,2,49,17.0,20,997.0,19,6,2
2,0.033,4.94,2.95,0,2.1,78.6,3,47,75.9,10,3877.0,17,7,0
4,0.101,5.12,2.51,12,3.8,204.6,2,7,49.8,20,1966.0,7,7,2
2,0.024,4.88,2.86,4,3.6,18.6,3,12,69.7,6,3196.0,21,6,1
2,0.099,4.55,2.78,9,3.2,111.8,4,60,44.3,8,4249.0,0,11,1
3,0.755,4.78,3.12,7,4.5,91.6,3,71,35.4,17,4247.0,12,7,2
3,0.299,5.6,3.27,11,4.1,79.6,4,92,49.4,16,2602.0,9,6,2
3,0.202,4.82,2.8,13,3.2,98.5,3,85,66.4,12,1609.0,17,10,2
2,0.044,6.0,3.13,7,2.2,40.4,2,50,28.0,12,5628.0,16,5,1
3,0.268,4.39,2.93,7,3.4,119.6,3,71,44.8,11,3094.0,13,7,1
4,0.859,4.76,2.7,10,3.4,113.2,4,22,85.8,22,887.0,4,10,2
5,0.073,5.24,3.09,8,3.4,90.3,3,39,52.4,21,4442.0,12,6,2
3,0.065,5.5,3.22,7,4.2,106.0,2,57,17.5,10,4544.0,22,8,1
2,0.267,4.7,2.88,3,3.2,63.6,4,43,52.2,11,4190.0,19,1,1
3,0.03,5.2,3.16,6,4.2,88.2,2,78,43.1,18,3874.0,17,10,1
3,0.306,5.27,2.88,11,3.9,129.8,3,59,25.0,12,4305.0,13,6,2
2,0.2,4.7,2.63,5,3.5,82.2,1,80,18.7,6,3429.0,16,3,0
2,0.087,5.45,2.6,5,2.5,37.0,1,54,62.6,18,4737.0,18,1,1
3,0.167,5.04,3.41,7,4.9,148.3,4,82,91.1,19,3235.0,14,5,2
4,0.721,6.45,3.14,3,2.1,118.9,3,61,14.8,30,2120.0,16,10,2
5,3.147,5.32,3.41,11,3.3,70.0,1,64,31.8,26,5861.0,17,8,3
4,0.03,5.06,2.85,8,3.5,85.9,4,85,67.2,22,1425.0,7,4,2
4,0.124,4.73,3.37,2,2.1,52.9,4,29,106.2,11,4668.0,6,1,2
5,0.073,5.29,2.64,10,3.0,59.5,2,9,7.8,22,2561.0,2,10,2
3,0.065,5.5,3.21,6,4.8,113.5,3,21,36.9,15,2543.0,1,8,1
4,0.098,5.01,3.24,9,4.0,127.0,3,24,96.6,16,2949.0,12,12,2
5,0.81,4.89,2.93,10,4.4,208.1,1,3,27.7,24,4015.0,3,1,2
5,0.899,5.14,3.12,11,4.4,54.6,4,3,32.6,31,4621.0,15,9,3
2,0.019,5.38,3.05,8,3.1,83.4,1,77,50.3,8,3461.0,19,9,1
2,0.244,4.8,3.05,9,3.6,308.1,3,34,26.4,6,4669.0,6,11,1
3,0.023,6.31,2.32,6,5.0,34.1,3,4,42.4,9,3355.0,5,10,2
3,0.211,5.1,3.4,8,4.3,92.3,2,0,50.2,13,495.0,8,5,1
4,0.077,5.32,2.79,10,5.2,40.0,3,24,48.3,36,3251.0,16,12,2
2,0.308,4.46,3.02,5,2.4,101.6,4,20,70.8,10,838.0,22,5,1
4,0.198,5.39,2.52,10,3.1,119.4,2,21,20.7,26,4678.0,13,2,1
3,0.743,4.92,3.0,3,4.4,141.4,1,1,31.8,18,2775.0,11,7,1
2,0.218,5.74,3.34,3,2.6,81.8,2,48,51.6,15,488.0,3,10,0
2,0.081,5.14,2.51,2,2.8,146.2,4,41,67.7,7,1233.0,18,8,0
4,0.661,3.99,3.18,8,4.5,87.6,1,86,31.9,28,6096.0,2,12,2
3,0.102,4.74,2.89,4,4.2,114.3,1,61,47.9,13,4062.0,9,5,1
5,0.876,4.39,2.77,11,6.1,103.5,2,76,45.2,26,4226.0,2,9,2
5,0.024,4.86,2.84,13,2.9,42.0,3,8,44.1,19,1194.0,2,8,3
4,0.214,4.83,2.57,11,3.0,30.7,4,66,46.0,21,2567.0,1,11,3
4,0.592,5.09,2.84,9,2.4,67.4,2,42,15.1,21,4690.0,14,8,2
2,0.095,4.95,3.35,3,3.9,52.7,3,67,36.2,11,4671.0,1,7,1
3,0.038,5.07,2.49,3,3.3,27.9,1,59,30.3,14,3709.0,14,7,1
4,1.185,4.68,3.15,6,5.3,176.4,1,86,67.8,19,5467.0,8,1,2
2,0.393,5.08,2.83,3,2.1,44.8,3,89,86.3,10,3172.0,0,11,1
3,0.074,4.96,3.0,2,3.8,267.9,4,50,37.6,19,949.0,9,5,1
2,0.209,4.62,2.82,2,2.0,52.9,2,81,50.5,12,2000.0,11,7,0
5,0.0,4.27,2.71,6,6.9,37.6,1,82,52.5,25,5930.0,8,6,2
2,0.262,5.62,3.42,6,2.2,117.0,1,79,67.9,7,5493.0,19,10,0
3,0.268,5.33,2.84,7,4.6,64.5,4,37,37.1,18,1742.0,2,4,2
2,0.384,3.99,2.75,7,3.8,34.4,4,58,19.9,14,4609.0,4,6,2
3,1.513,5.08,3.59,6,2.5,71.2,3,28,50.7,21,2526.0,3,3,2
3,0.39,5.66,2.31,8,3.8,70.3,3,51,24.1,17,1875.0,2,10,2
2,0.247,4.76,2.92,0,3.2,18.1,3,23,101.4,14,195.0,1,1,1
5,0.228,4.23,2.8,7,5.2,220.7,1,57,17.0,22,5288.0,4,6,2
5,0.655,5.53,3.42,8,3.6,107.0,1,18,57.8,17,1546.0,19,1,2
2,0.073,5.36,3.02,3,3.0,53.5,1,17,13.8,11,6293.0,7,12,0
5,1.926,5.13,2.92,7,5.5,152.2,2,22,41.8,18,4211.0,19,7,2
4,0.052,4.7,2.96,13,5.8,183.3,3,91,22.2,16,2139.0,19,8,2
4,0.148,5.57,2.82,7,3.6,72.9,4,33,33.3,15,816.0,19,5,2
2,0.25,5.19,3.24,3,2.2,115.6,1,38,30.9,8,4957.0,23,10,0
2,0.324,4.6,3.26,4,2.1,166.7,3,13,56.8,8,4451.0,5,4,1
4,0.081,5.2,3.52,9,5.8,75.8,3,94,58.2,12,2278.0,10,12,2
2,0.026,4.96,2.62,4,2.5,155.6,1,87,77.3,9,808.0,6,4,0
3,0.339,4.44,2.61,5,4.5,129.0,1,5,126.6,14,3395.0,8,4,1
4,0.403,4.39,2.49,4,3.3,68.8,4,48,39.3,23,2655.0,20,7,2
4,0.486,4.09,3.25,5,4.9,56.1,4,14,13.8,21,1479.0,3,8,2
4,0.488,5.72,2.78,6,3.9,34.4,2,21,41.7,27,4313.0,18,7,2
4,0.021,4.99,3.21,5,2.6,59.1,2,32,25.4,18,1829.0,21,3,1
3,0.465,5.17,3.04,7,4.8,41.8,4,25,45.2,21,3254.0,7,8,2
3,0.246,5.1,2.56,4,2.3,43.9,3,28,15.1,16,1754.0,7,1,2
2,0.055,5.26,3.31,3,2.6,97.0,3,80,48.1,8,756.0,11,1,1
3,0.502,4.83,3.04,8,2.9,142.8,1,61,40.8,22,2530.0,23,10,2
5,1.668,4.24,2.85,11,2.4,133.3,4,21,68.5,35,504.0,12,7,3
3,0.846,5.58,3.38,8,3.4,288.1,1,29,35.4,12,3986.0,15,6,2
2,0.168,5.46,3.48,6,2.8,67.7,1,28,39.2,14,4089.0,23,12,1
5,1.529,4.89,2.62,8,3.3,202.1,1,51,45.1,24,3923.0,22,9,2
2,0.015,5.35,3.04,1,3.4,86.5,1,92,36.1,10,3828.0,7,4,0
4,0.07,5.35,3.3,13,2.8,24.8,3,83,20.2,20,5416.0,11,2,2
3,0.115,6.46,2.9,5,3.2,100.6,3,46,105.8,17,1060.0,16,12,1
3,0.21,4.98,2.97,6,4.6,52.8,3,48,16.8,8,2419.0,5,11,2
4,0.314,4.96,2.74,7,4.0,198.8,1,74,44.8,18,1548.0,16,1,2
2,0.181,5.19,2.58,2,3.9,125.0,3,93,59.2,2,3016.0,11,8,0
2,0.965,5.36,3.2,5,3.8,33.4,4,95,62.0,10,5817.0,13,1,2
2,0.725,4.5,2.83,2,3.5,118.1,2,85,43.6,8,5522.0,19,12,0
5,1.393,5.08,3.32,18,6.3,87.8,3,67,20.6,23,4480.0,19,1,3
3,0.028,5.63,3.2,7,2.8,66.9,4,73,42.2,17,5199.0,14,5,2
3,0.331,4.71,2.86,11,3.6,28.3,2,62,67.5,12,3432.0,4,3,2
3,0.05,4.73,3.15,8,2.5,104.0,2,9,54.8,21,4861.0,10,6,1
3,0.743,5.14,3.24,4,3.7,48.3,2,96,30.7,11,1854.0,3,1,2
4,0.032,5.06,2.95,11,4.1,29.0,1,56,21.7,18,843.0,10,12,2
2,0.352,5.38,2.73,5,3.1,39.2,1,6,18.8,19,2490.0,12,1,1
2,0.21,4.75,2.8,7,3.2,107.0,4,35,71.7,16,4123.0,12,9,1
3,0.088,5.07,3.16,6,2.4,39.0,3,57,16.6,12,4468.0,13,6,2
3,0.299,3.83,3.1,5,3.8,169.4,1,31,21.1,11,5196.0,7,1,1
2,0.027,5.59,3.63,4,3.6,169.9,3,84,31.5,4,761.0,20,1,0
2,0.017,5.4,2.66,5,4.0,19.6,4,6,51.6,9,877.0,11,12,2
3,0.426,6.43,2.79,5,4.4,131.6,3,82,127.2,15,2163.0,1,8,1
3,0.457,4.89,2.69,4,3.9,85.2,2,77,44.8,25,3730.0,3,1,1
5,0.973,5.55,2.57,10,3.8,167.6,2,26,85.0,25,451.0,4,7,2
2,0.147,5.18,3.6,5,2.6,107.6,2,23,49.2,11,4198.0,19,8,0
5,0.05,4.8,2.56,13,2.1,132.7,3,1,74.6,19,4197.0,23,5,2
3,0.609,4.26,3.02,7,2.1,148.0,3,88,75.1,11,3454.0,4,10,2
3,0.515,4.68,2.98,10,4.8,80.3,2,48,56.0,17,4792.0,9,3,2
3,0.156,4.28,3.15,9,3.3,38.9,3,43,89.7,15,4713.0,11,2,2
3,0.014,4.24,2.52,3,4.4,190.3,4,78,32.9,6,5241.0,8,1,1
2,0.005,5.91,3.45,9,2.8,22.5,4,41,31.9,10,4342.0,14,8,2
3,0.133,5.02,3.16,2,4.2,57.2,1,64,25.5,13,1331.0,0,10,1
3,0.11,5.23,3.25,10,4.5,79.0,1,62,49.6,12,3910.0,2,6,1
2,0.454,6.02,2.75,4,3.2,81.9,4,10,57.9,12,1000.0,16,9,1
4,0.464,3.9,3.18,5,5.1,16.3,2,22,34.8,25,974.0,3,4,2
3,0.126,4.85,3.02,9,2.4,201.1,4,75,34.3,21,1011.0,15,7,2
