slope_angle_deg,rainfall_24h_mm,rainfall_7d_mm,soil_moisture_percent,soil_cohesion_kpa,soil_friction_angle,vegetation_cover_pct,elevation_m,historical_landslides,soil_type,deforestation,groundwater_depth_m,seismic_activity,month,risk_level
34.8,56.6,164.1,65.4,35.5,43.5,9.6,1729.6,1,3,1,12.6,1,12,2
20.4,200.3,481.2,95.0,41.5,15.5,27.8,2749.4,3,4,1,13.6,0,6,3
33.3,168.7,455.0,95.0,38.1,17.3,6.0,1913.3,4,3,1,39.4,0,9,3
16.8,13.6,17.8,40.9,24.3,40.8,14.7,2290.6,0,2,1,11.4,1,4,1
73.0,66.0,159.5,67.7,29.3,38.3,59.8,1201.6,5,3,0,11.2,0,11,2
52.3,13.1,19.1,60.8,32.5,17.2,69.1,1607.4,2,3,0,17.8,0,5,1
47.3,51.8,55.6,74.8,47.5,24.4,72.2,1003.4,4,3,0,15.1,0,11,2
13.0,26.5,60.2,47.8,5.5,15.7,30.8,2190.0,0,3,0,20.1,1,3,1
66.4,32.1,38.9,62.7,42.6,26.9,50.5,1255.2,3,3,0,17.8,0,12,1
44.9,265.2,1155.6,95.0,28.3,20.4,27.4,918.1,2,1,1,21.6,1,8,3
28.5,33.7,41.7,73.7,27.6,20.6,23.1,1975.6,0,1,1,18.4,0,11,1
75.1,196.1,502.2,95.0,38.4,15.4,27.9,1581.0,2,2,1,5.9,1,7,3
52.2,12.1,35.2,38.6,29.8,15.8,90.3,1584.7,2,4,0,17.9,0,5,1
75.8,38.6,64.2,64.6,34.4,36.3,7.6,1957.0,2,4,1,19.3,0,3,2
40.6,39.9,54.8,75.0,38.2,26.5,93.7,1097.3,0,2,0,18.9,0,10,1
52.0,137.2,490.4,95.0,32.8,17.7,43.1,1421.7,3,4,0,12.2,0,8,3
38.1,9.7,28.6,54.8,40.5,34.3,71.4,213.7,5,1,0,15.1,1,5,1
66.1,78.4,82.9,94.7,19.5,16.1,83.1,2262.4,3,2,0,21.7,1,3,2
18.9,36.8,82.3,55.4,46.6,35.6,80.2,2350.7,0,2,0,19.3,0,1,0
26.4,134.5,280.3,95.0,9.0,18.9,47.9,131.1,2,5,0,18.0,0,7,2
13.2,204.0,945.4,95.0,34.2,40.8,32.6,2831.2,1,3,0,14.6,1,7,3
40.2,10.9,23.8,52.2,28.9,34.0,15.4,2423.6,5,4,1,19.8,0,3,2
136.1,27.6,79.1,70.3,25.8,26.0,54.5,2226.6,0,2,0,2.0,0,11,1
54.1,137.4,563.7,95.0,36.9,40.8,91.7,600.3,2,2,0,18.9,0,9,2
88.8,13.6,30.8,63.0,37.2,31.8,24.0,1285.2,3,2,1,35.5,0,4,1
65.2,94.7,119.9,95.0,32.6,21.2,49.3,1870.8,2,2,0,15.5,0,11,2
21.6,50.1,138.3,63.7,43.7,34.9,29.2,1301.4,0,5,1,19.9,1,12,2
93.7,41.0,67.8,58.7,16.4,17.1,72.5,124.1,2,5,0,14.1,0,4,2
36.4,31.7,68.4,47.1,42.3,16.0,57.2,2460.9,0,4,0,6.0,0,5,1
61.0,278.5,1117.9,95.0,18.9,32.8,99.8,681.9,4,5,0,10.1,0,9,3
73.7,57.6,135.6,62.4,20.3,26.2,67.2,2145.0,3,4,0,22.1,0,5,2
16.5,34.3,75.8,57.4,34.6,42.9,2.0,699.2,0,4,1,8.2,0,4,1
66.3,181.2,838.0,95.0,41.9,37.1,84.1,2009.1,2,2,0,17.5,0,7,3
12.5,46.0,56.5,58.5,8.2,16.6,15.2,1049.8,2,4,1,10.6,0,11,1
17.1,42.6,90.0,74.1,36.8,23.0,51.0,520.6,4,1,0,9.4,0,11,0
59.6,67.9,167.7,92.2,49.0,43.3,48.3,2643.2,5,3,0,9.6,0,3,2
98.5,18.4,51.7,40.2,18.6,23.8,74.6,689.9,0,3,0,8.5,0,3,1
58.9,239.8,980.5,95.0,14.9,27.0,41.1,2647.4,3,2,0,8.3,0,8,3
53.3,31.7,93.2,47.4,30.8,43.7,42.1,1681.6,0,3,0,17.3,0,4,1
15.4,87.0,253.8,95.0,31.1,41.4,28.7,2631.1,7,3,1,11.8,0,9,2
42.1,49.7,86.7,64.3,25.2,15.9,53.1,2961.7,2,3,0,18.6,0,2,1
74.3,42.3,52.6,55.4,9.1,33.1,84.2,622.0,2,2,0,26.2,1,11,2
46.9,43.6,75.0,79.3,30.6,15.6,97.8,1019.4,4,1,0,16.5,0,5,1
13.1,191.8,462.2,95.0,6.1,27.7,24.5,1072.6,2,4,1,16.8,0,9,2
23.2,94.8,416.7,95.0,42.8,20.5,45.8,2139.2,2,3,0,8.1,0,8,2
17.9,45.8,61.5,62.9,5.8,20.3,52.9,1194.8,2,4,0,20.7,0,10,1
47.2,11.8,14.7,39.6,44.7,42.0,73.4,2368.6,3,4,0,10.3,0,10,1
37.2,48.7,101.3,55.0,26.4,23.1,33.7,1478.8,1,4,0,18.5,1,11,2
54.7,16.2,61.8,54.1,37.2,30.2,2.2,1354.7,2,2,1,8.8,0,6,1
56.3,23.2,114.2,65.7,23.6,15.9,93.4,2403.2,5,3,0,13.7,0,7,1
14.3,48.1,142.7,66.7,47.7,17.8,91.1,1098.7,3,4,0,11.4,0,3,0
38.3,120.1,337.1,95.0,22.4,20.6,58.6,687.4,4,2,0,12.9,0,6,2
47.0,29.6,65.2,72.6,37.9,21.3,45.4,989.1,2,1,0,6.3,0,3,1
26.1,113.7,525.8,94.0,7.8,39.5,53.0,2701.1,1,4,0,4.5,0,7,2
30.3,45.1,116.1,65.1,27.4,31.3,31.5,1154.0,3,4,0,12.2,0,4,1
50.9,23.7,30.4,59.8,8.7,30.0,39.2,2464.1,1,2,0,13.5,1,11,2
66.9,113.5,559.1,94.1,40.0,26.0,3.2,575.2,2,3,1,17.1,0,7,3
63.9,47.9,61.1,60.2,13.9,19.0,26.5,2535.7,2,4,1,17.7,0,4,2
72.2,73.3,349.6,77.5,39.9,20.8,90.9,2164.8,2,2,0,26.9,0,9,2
55.1,37.4,67.2,49.4,43.0,43.6,53.0,1396.0,1,2,0,4.2,0,10,1
57.1,56.7,85.8,67.7,48.4,30.4,77.2,814.3,2,3,0,20.2,0,5,2
95.4,34.2,47.3,65.5,15.9,43.3,8.1,2796.4,3,2,1,21.0,0,1,2
43.0,70.5,323.1,92.0,27.1,17.5,58.1,931.4,0,4,0,19.3,0,8,2
22.0,39.8,115.7,50.8,22.3,39.5,95.5,2373.9,1,3,0,21.0,0,3,0
64.9,237.9,724.3,95.0,44.7,37.0,48.4,997.0,2,4,0,12.7,1,8,3
44.2,24.8,54.1,55.4,35.7,33.2,13.4,652.4,0,3,1,4.2,0,11,2
60.3,19.5,40.7,55.1,19.2,43.0,24.4,455.0,1,4,1,19.3,0,3,2
20.3,37.6,86.0,68.9,42.0,42.3,5.9,374.0,0,4,1,25.2,0,11,1
87.0,26.8,72.4,68.6,47.0,22.2,91.6,1406.2,2,1,0,12.8,0,5,1
76.5,51.6,110.3,63.8,5.7,21.8,61.2,833.9,0,1,0,12.2,0,4,1
59.5,57.2,148.6,83.7,22.5,37.7,73.4,815.3,4,3,0,14.4,0,1,2
47.9,247.5,937.5,95.0,17.8,32.3,54.7,1573.4,2,2,0,32.0,0,9,3
47.6,7.3,7.9,58.4,23.9,44.0,41.8,2843.3,2,3,0,15.8,0,10,1
46.5,416.8,1335.0,95.0,25.7,23.8,43.6,1140.1,0,2,0,5.9,0,9,3
9.1,177.3,408.8,95.0,47.4,24.3,65.5,1023.0,1,2,0,19.3,0,8,2
87.4,100.7,271.5,88.2,12.2,40.6,56.1,278.3,2,3,0,19.4,0,3,2
40.8,20.6,44.4,69.2,18.1,27.5,12.8,1958.4,1,3,1,24.3,0,11,2
36.8,41.4,68.2,72.7,45.8,17.0,2.2,2059.1,6,3,1,19.1,0,3,2
11.0,38.3,98.2,54.0,44.4,44.3,36.0,430.3,3,1,0,6.2,1,3,0
52.0,66.3,236.5,84.9,31.2,15.7,2.1,2672.7,2,3,1,19.2,0,7,2
83.6,34.3,84.8,73.9,46.6,20.3,67.3,317.4,2,4,0,18.1,0,1,2
46.0,47.1,110.9,79.7,16.5,32.4,82.0,2805.4,0,2,0,3.7,1,1,2
68.5,184.5,709.3,95.0,14.5,40.5,43.2,1392.0,2,3,0,26.9,0,7,3
50.0,49.2,64.7,78.8,17.2,31.4,29.2,893.8,2,3,1,18.5,0,5,2
42.7,384.4,1250.7,95.0,11.7,20.6,77.9,808.4,1,4,0,4.3,0,8,3
35.1,85.2,412.2,95.0,17.3,18.2,93.4,521.7,1,2,0,6.9,0,9,2
86.6,17.2,19.9,62.0,16.1,37.9,2.4,1969.7,0,3,1,17.7,0,12,2
34.5,13.9,26.9,39.5,17.0,44.4,90.5,1901.8,2,3,0,28.2,0,3,0
81.3,67.2,177.4,83.7,29.4,28.9,15.7,442.9,2,3,1,16.4,0,4,2
52.8,319.5,964.6,95.0,18.5,31.3,89.0,2047.0,2,2,0,15.1,1,7,3
41.3,21.6,32.5,53.0,19.3,42.9,63.0,1785.2,2,1,0,30.5,0,3,0
9.3,270.5,1218.0,95.0,14.7,32.9,67.8,830.1,3,3,0,19.6,0,6,2
35.9,33.5,56.9,65.7,7.1,43.0,96.7,2809.6,2,4,0,10.1,1,10,2
65.4,5.6,15.0,58.4,33.7,16.4,75.1,2616.3,4,3,0,6.2,0,10,1
6.8,383.4,1108.7,95.0,5.9,42.1,35.8,1527.6,4,2,0,9.6,0,9,2
96.4,242.3,976.5,95.0,49.5,36.1,37.0,2399.6,1,4,0,26.2,0,8,3
50.6,42.3,43.9,75.4,38.3,19.7,94.2,2634.1,2,3,0,20.8,0,11,2
29.2,195.9,964.3,95.0,42.2,39.5,77.2,2541.7,1,3,0,10.7,0,9,2
28.9,43.1,96.1,79.3,34.2,25.0,9.5,1511.7,3,5,1,10.0,0,4,2
58.7,145.1,566.0,95.0,31.2,16.9,45.3,2082.6,0,3,0,7.8,1,6,3
28.9,66.9,118.3,88.7,28.4,15.1,53.9,2628.8,2,2,0,8.3,0,2,1
26.4,11.7,25.0,55.8,47.8,33.2,56.8,1470.5,3,3,0,26.1,1,2,1
68.1,67.1,129.9,84.7,5.3,24.7,77.7,2591.1,3,2,0,17.9,0,12,2
65.8,87.5,122.8,93.4,21.6,27.0,4.0,2502.4,2,5,1,8.2,0,1,3
50.0,134.5,422.6,95.0,20.2,16.7,56.0,2333.4,3,4,0,15.3,0,9,3
75.8,47.9,52.2,71.4,7.1,21.5,50.1,2400.5,1,2,0,15.5,0,2,1
48.5,16.9,32.3,57.6,46.3,29.8,54.8,1746.3,3,4,0,14.8,0,11,2
41.9,46.2,103.9,72.0,5.1,35.6,74.2,178.1,2,2,0,4.9,1,4,2
64.1,62.7,106.7,68.0,21.7,20.3,98.1,1111.1,3,4,0,21.2,0,2,2
47.7,17.6,41.7,60.1,25.9,23.9,9.2,253.7,0,3,1,21.8,0,11,2
59.3,33.3,53.4,60.7,15.6,43.5,26.3,2783.8,3,2,1,12.2,0,11,1
19.8,69.7,182.9,83.8,31.4,28.9,8.1,1484.8,2,2,1,7.2,0,2,2
62.8,36.6,97.8,61.0,29.2,32.4,37.1,198.4,2,3,0,7.1,0,4,2
56.8,159.8,627.3,95.0,23.1,38.4,37.7,796.1,5,1,0,12.7,1,6,3
85.8,222.6,1042.3,95.0,17.6,18.4,7.3,155.0,1,3,1,16.8,0,8,3
33.6,53.7,60.0,70.3,27.8,42.0,57.4,2840.7,2,5,0,20.0,0,10,2
30.8,299.3,722.9,95.0,37.1,35.9,97.4,468.9,1,3,0,8.2,0,7,2
60.8,47.5,125.8,62.7,20.1,38.7,42.1,2639.9,2,3,0,33.9,0,12,1
23.9,53.9,67.2,66.6,45.8,29.3,92.6,800.4,1,3,0,7.0,0,3,1
47.8,39.3,103.5,74.2,48.7,33.6,68.7,1497.4,1,4,0,20.2,0,1,2
68.2,32.5,38.5,64.3,48.4,27.9,81.5,1463.7,1,3,0,9.2,0,4,1
51.3,6.6,7.0,56.3,10.6,32.2,77.8,1519.1,0,4,0,3.9,0,12,2
39.4,48.8,53.3,76.6,36.7,41.7,57.7,564.3,0,3,0,8.2,0,11,1
39.8,196.0,845.6,95.0,48.1,17.8,75.1,315.1,1,3,0,14.5,0,7,3
76.3,17.9,51.7,46.3,23.6,43.3,33.2,636.7,5,4,0,13.5,0,3,2
46.7,7.2,11.3,36.0,5.3,25.6,38.6,2752.0,0,4,0,12.0,0,12,2
56.9,83.1,262.5,95.0,24.7,25.7,7.3,2498.4,1,3,1,12.6,0,7,3
56.0,37.1,89.8,65.0,49.4,35.9,80.7,1325.4,4,3,0,21.2,0,3,1
40.5,89.6,447.2,84.5,23.0,15.3,21.2,2349.4,4,4,1,9.9,0,6,2
21.7,245.0,781.4,95.0,23.0,32.7,96.5,1844.6,2,2,0,13.6,0,9,2
49.9,16.6,36.0,39.5,20.0,19.3,7.6,1336.1,2,1,1,9.4,0,11,1
24.8,245.0,718.5,95.0,6.8,18.8,88.5,2719.6,3,5,0,11.4,1,6,3
17.2,52.5,81.5,79.1,16.3,31.3,11.3,2087.9,5,4,1,11.0,0,1,2
47.6,39.1,73.2,79.2,40.1,38.2,36.7,2319.1,4,3,0,24.0,0,12,2
62.8,385.7,1662.9,95.0,45.9,20.0,87.5,1210.9,0,4,0,3.7,0,8,3
50.0,28.7,33.0,48.8,9.7,17.9,14.6,2682.3,5,4,1,7.6,0,2,2
41.9,88.7,210.8,95.0,42.9,38.8,18.7,106.6,2,2,1,21.8,0,12,2
83.7,25.0,61.1,44.1,19.4,27.9,9.5,1721.8,1,2,1,9.6,0,3,1
56.2,22.5,59.9,56.4,49.6,33.5,22.2,132.1,1,3,1,16.2,0,6,2
43.3,163.5,433.2,95.0,31.7,32.6,54.9,521.4,4,5,0,18.2,0,7,3
47.6,52.4,143.0,57.1,46.4,40.8,81.9,1746.2,1,4,0,22.8,0,11,2
59.0,41.2,92.5,77.4,48.6,36.6,63.9,385.2,1,3,0,16.7,0,10,2
35.4,23.3,58.5,41.9,11.3,32.1,64.8,220.6,1,2,0,10.4,0,12,0
66.2,158.1,386.8,95.0,36.0,34.6,90.8,924.7,0,3,0,18.7,1,9,3
63.8,25.1,61.2,66.1,37.2,35.3,39.0,1502.4,2,3,0,11.4,0,11,2
49.3,28.0,29.0,56.4,46.0,39.1,98.3,2442.1,1,5,0,7.4,0,10,2
61.9,43.0,66.1,63.9,49.3,40.7,48.5,2575.4,3,1,0,3.7,1,12,2
40.5,34.0,68.6,50.9,49.7,20.9,54.9,598.7,5,4,0,10.7,0,9,1
19.5,86.2,365.3,95.0,35.5,42.6,28.6,1355.0,0,1,1,16.5,0,9,2
41.2,43.8,87.1,68.3,33.1,34.1,64.6,1130.6,1,3,0,20.0,0,11,1
37.5,16.1,23.8,39.9,48.8,20.7,63.4,435.0,4,4,0,17.1,0,4,1
33.1,57.7,104.4,63.4,24.7,36.9,69.0,2369.3,3,1,0,33.3,0,11,1
68.5,135.3,330.3,95.0,33.7,29.9,22.4,1512.2,3,4,1,17.3,0,7,3
26.1,46.8,136.7,61.8,16.7,25.2,54.4,985.7,2,3,0,26.2,1,2,1
33.9,30.2,81.8,69.4,18.5,16.1,88.4,2432.5,1,3,0,16.6,0,10,1
65.8,319.6,839.1,95.0,33.4,26.7,22.8,225.4,2,1,1,20.8,0,9,3
53.2,138.0,299.4,95.0,20.6,44.2,53.5,1452.2,0,1,0,10.7,0,9,2
37.9,3.7,10.8,60.3,47.4,31.4,9.7,1550.6,3,4,1,22.4,0,12,2
48.8,34.7,86.9,64.5,22.6,15.8,70.8,2326.7,2,3,0,17.7,0,1,1
9.3,59.8,175.6,88.5,21.0,17.5,66.9,2632.8,4,5,0,11.6,0,5,2
38.5,143.2,708.4,95.0,22.8,25.1,99.4,772.1,0,2,0,12.4,0,7,2
55.6,39.5,93.0,79.5,11.9,23.3,84.3,1715.5,1,3,0,9.0,0,10,2
52.7,19.0,53.0,57.0,31.9,17.0,8.0,1563.7,4,3,1,38.1,0,4,2
58.9,55.7,88.8,60.6,25.1,19.3,21.0,2743.7,2,1,1,25.4,0,11,2
48.1,8.3,21.3,39.2,37.2,17.3,57.5,2284.2,0,3,0,20.6,0,3,1
66.0,54.9,65.9,72.5,32.6,40.9,55.4,629.3,6,3,0,28.3,0,11,2
12.3,155.1,766.5,95.0,17.8,40.6,89.7,727.2,3,4,0,15.2,1,7,3
29.6,32.1,68.8,66.7,32.8,18.0,63.2,658.9,3,3,0,17.6,0,12,1
25.7,30.3,45.2,69.0,13.8,31.2,32.2,2185.1,4,3,0,26.8,1,12,2
39.5,160.7,679.4,95.0,19.4,29.9,17.4,1370.1,2,3,1,27.2,0,6,3
67.0,38.9,88.6,71.1,17.2,27.1,57.4,2307.3,1,3,0,17.1,0,5,2
25.7,49.9,111.9,62.8,49.0,35.2,1.0,1597.1,1,1,1,9.0,1,10,2
81.3,55.9,147.6,78.2,36.6,27.8,65.2,788.5,4,4,0,15.9,0,3,2
70.0,227.8,603.5,95.0,20.8,40.0,43.8,281.8,2,1,0,18.3,0,6,3
38.1,228.3,977.9,95.0,8.0,42.6,43.6,972.5,5,4,0,23.3,0,6,3
41.2,38.5,44.2,70.2,18.2,19.8,42.5,2578.2,1,5,0,11.8,0,10,2
37.5,47.4,120.4,61.3,49.0,37.7,65.3,2631.9,2,3,0,22.0,0,3,1
40.4,63.2,174.9,62.2,23.7,21.8,36.3,2924.5,3,1,0,25.6,0,10,2
60.3,211.2,1032.7,95.0,28.9,19.4,50.4,700.1,1,4,0,13.7,0,9,3
50.7,78.3,139.3,69.7,12.2,43.4,26.0,685.1,1,3,1,23.9,0,1,2
38.7,249.9,1045.6,95.0,42.7,30.3,78.3,2889.4,2,2,0,21.9,0,6,2
39.6,62.1,105.4,79.5,24.8,25.3,32.5,1237.5,1,2,0,21.5,1,11,2
51.8,409.5,1017.9,95.0,23.5,29.8,69.2,1488.1,2,3,0,3.2,0,7,3
44.2,61.1,109.2,82.6,40.9,18.0,22.1,483.1,4,3,1,21.3,0,10,2
59.9,80.8,117.0,74.1,16.6,26.1,86.5,2078.9,1,2,0,18.0,0,10,2
91.7,55.6,132.8,85.8,6.9,29.0,53.5,2306.2,1,3,0,22.2,0,11,2
53.5,21.1,53.6,65.6,17.8,23.5,69.0,2591.0,2,3,0,9.1,1,12,2
26.4,102.8,495.1,95.0,9.3,41.3,82.9,2244.9,1,4,0,13.6,1,9,3
32.4,179.1,831.9,95.0,40.6,24.1,50.4,1659.6,4,5,0,17.3,0,8,3
40.5,44.1,87.8,62.9,41.0,34.2,9.6,2063.3,0,5,1,5.2,0,1,2
77.2,8.1,22.9,61.6,20.9,34.8,25.7,1912.6,0,3,1,9.4,0,11,2
48.6,13.8,41.1,39.6,37.3,25.6,84.1,1687.1,4,5,0,20.9,0,11,1
41.1,272.7,1336.4,95.0,38.8,41.4,48.8,1510.3,2,3,0,13.4,0,8,3
66.5,197.0,694.6,95.0,13.8,32.0,32.6,1519.2,3,2,0,7.8,0,9,3
23.7,282.4,1195.7,95.0,36.0,28.0,13.0,1368.1,2,2,1,16.1,0,9,2
58.7,202.9,654.7,95.0,26.4,37.0,34.5,1627.8,1,2,0,8.1,0,8,3
15.0,48.9,133.4,64.0,33.9,25.3,90.5,1040.6,3,1,0,25.5,0,5,0
28.2,44.4,114.9,55.6,19.3,32.6,38.5,1231.5,1,2,0,15.2,0,11,1
36.9,349.3,1160.9,95.0,25.8,40.3,59.2,240.6,6,5,0,26.1,0,6,3
64.0,83.7,397.8,95.0,48.8,43.7,49.4,1923.9,1,2,0,6.1,0,6,2
35.8,231.0,792.6,95.0,9.6,15.1,28.3,1446.6,2,3,1,13.6,0,8,3
41.9,9.2,24.0,52.4,48.4,36.5,49.5,2804.7,4,4,0,22.1,0,10,1
79.3,39.2,40.1,58.2,25.3,42.4,85.0,729.0,2,4,0,27.9,0,5,2
43.8,34.2,55.7,68.3,21.8,34.8,34.4,534.5,2,3,0,14.5,0,1,1
15.0,125.1,249.2,95.0,9.3,42.5,98.4,2585.3,0,2,0,9.6,0,2,1
80.2,128.5,557.3,95.0,8.3,31.9,98.7,2290.1,1,1,0,16.4,0,6,2
58.6,41.5,59.8,58.8,46.7,17.4,50.4,1476.5,4,1,0,15.6,0,1,1
69.4,25.8,28.0,66.3,34.8,40.3,29.3,1703.5,4,3,1,18.7,0,2,2
55.6,221.7,646.8,95.0,32.4,28.3,31.2,2362.3,2,1,0,8.8,0,8,3
38.9,21.5,33.2,49.1,9.6,21.0,55.9,756.3,1,2,0,16.8,0,2,0
28.8,385.9,1308.3,95.0,35.0,15.4,89.3,1843.0,5,1,0,7.2,0,7,2
60.1,81.3,202.6,79.4,40.8,18.1,70.7,1272.1,3,3,0,9.8,0,11,2
75.6,187.1,669.1,95.0,24.6,40.0,39.4,477.8,0,4,0,10.7,0,8,3
15.8,32.7,36.4,64.8,10.6,37.3,75.4,404.8,4,4,0,19.2,0,5,1
85.3,43.6,117.2,68.3,17.4,24.2,30.4,2610.1,0,4,0,30.8,0,12,2
8.0,12.4,21.0,62.6,38.6,27.4,35.0,1157.7,0,3,0,21.5,0,1,0
23.9,46.1,199.3,71.7,24.9,15.3,66.8,1664.2,0,4,0,11.8,0,7,1
14.1,38.7,74.6,65.8,23.8,38.6,6.8,1127.0,2,3,1,13.6,0,2,1
55.1,34.7,44.4,68.5,23.8,38.1,12.6,319.2,1,4,1,26.5,0,4,2
63.5,262.9,1199.8,95.0,14.3,41.6,10.9,2130.0,3,2,1,11.8,1,8,3
66.1,11.4,22.0,47.2,14.6,17.4,79.0,1864.5,2,3,0,24.8,0,2,1
44.8,139.6,435.7,95.0,35.4,18.0,30.1,2543.1,1,4,0,20.8,0,9,3
74.4,43.4,111.6,56.7,49.6,19.5,54.4,150.4,1,1,0,13.6,0,1,1
64.4,27.0,64.8,71.1,13.5,18.8,66.7,1495.2,4,3,0,8.9,0,4,2
65.8,54.8,90.5,72.0,25.3,24.2,1.6,2490.1,0,4,1,20.1,0,4,2
33.7,23.5,56.4,43.7,15.5,16.0,55.7,2462.9,1,3,0,22.2,0,2,0
27.5,24.1,54.4,61.7,6.5,23.8,0.6,2398.1,2,3,1,14.5,1,11,2
113.6,29.6,87.8,60.5,24.7,16.3,57.9,2838.5,4,3,0,14.1,0,5,1
69.7,143.2,419.4,95.0,34.2,15.7,90.4,571.4,3,5,0,13.0,0,8,3
28.2,39.9,72.9,55.0,10.3,18.4,0.0,2396.4,1,2,1,2.2,0,4,1
52.8,83.6,124.6,80.6,17.3,21.6,24.6,1841.7,2,4,1,7.2,0,5,2
61.8,0.8,2.1,33.8,14.0,43.4,36.1,2533.9,1,4,0,13.2,0,10,2
43.7,8.7,24.0,40.9,7.7,41.7,6.2,2593.3,2,4,1,10.2,0,5,2
75.6,167.0,665.1,95.0,30.5,37.5,50.1,2522.2,2,4,0,15.2,0,7,3
31.6,98.2,228.9,95.0,17.7,40.0,38.6,2868.8,1,1,0,16.5,0,1,2
