sea_surface_temp_c,atmospheric_pressure_hpa,wind_speed_kmh,wind_shear_kms,humidity_percent,coastal_distance_km,latitude,coriolis_parameter,cloud_top_temp_c,vorticity,previous_cyclone_30d,month,risk_level
21.4,1005.4,16.5,26.4,60.3,483.8,8.65,2.194,-47.8,1.92,0,7,0
25.6,1023.1,26.0,40.1,85.6,492.3,22.94,5.6837,-32.5,1.65,0,2,0
31.9,987.5,44.3,18.9,81.6,329.4,23.24,5.7557,-41.1,7.23,0,10,2
26.0,1011.4,56.3,79.6,63.3,81.3,22.24,5.519,-30.8,12.74,0,6,2
24.7,1013.7,44.4,5.9,62.0,231.7,12.9,3.2568,-34.1,0.17,0,4,0
26.9,1019.3,53.8,11.9,75.5,412.7,12.95,3.2685,-32.9,0.76,0,1,1
24.1,1015.1,63.7,41.2,83.1,107.9,22.19,5.5089,-50.3,0.06,0,3,1
29.9,994.1,44.2,8.0,65.7,368.8,13.85,3.4921,-55.6,8.75,0,5,2
30.6,1003.1,38.4,33.2,66.7,150.0,13.31,3.3578,-52.5,2.32,0,5,2
27.0,998.7,57.1,24.8,60.4,383.0,13.06,3.2955,-47.1,0.76,0,12,1
20.4,1006.1,47.9,24.9,83.7,227.2,14.39,3.6246,-53.6,0.26,0,12,0
28.0,1005.3,56.0,3.9,65.3,476.0,8.98,2.2754,-26.7,1.89,1,12,1
22.1,1006.3,61.4,62.5,64.8,103.0,19.67,4.9091,-33.2,7.3,0,9,1
30.0,1002.1,36.4,18.0,93.0,538.7,17.15,4.3012,-26.3,2.15,1,10,2
26.3,1002.4,42.0,15.3,65.9,418.7,11.14,2.8189,-32.0,1.95,0,2,1
27.6,988.5,61.2,35.8,78.8,441.1,18.57,4.6456,-38.6,1.24,0,5,2
24.6,1012.4,45.7,19.9,83.7,351.3,11.97,3.0243,-34.4,1.14,0,3,0
26.3,1007.1,32.7,43.5,79.4,267.3,15.97,4.0116,-51.1,2.69,0,1,1
24.8,1004.7,22.3,14.5,88.4,408.4,23.36,5.7839,-55.4,0.0,0,7,0
23.1,1014.1,29.4,29.6,75.3,54.1,24.14,5.964,-29.2,8.24,0,2,0
20.5,999.4,72.3,25.5,94.5,226.9,8.43,2.1374,-30.9,2.63,1,8,1
26.6,1014.5,61.6,33.4,83.5,384.4,17.42,4.3672,-34.5,1.06,0,9,1
24.0,1015.7,75.6,20.1,69.5,402.6,12.92,3.2614,-54.3,0.28,0,1,0
24.7,1005.1,43.2,33.0,85.3,563.8,19.26,4.8119,-44.1,0.07,0,1,0
27.8,1007.9,51.2,23.0,60.7,204.0,24.74,6.1029,-39.5,0.02,0,1,1
26.8,1010.0,62.8,22.6,92.7,522.5,14.67,3.6939,-42.5,2.46,0,9,1
20.8,1007.9,42.2,20.0,65.5,205.9,23.12,5.7257,-50.9,0.21,0,1,0
24.4,1008.5,40.2,12.2,62.7,281.2,13.61,3.4306,-22.1,0.13,0,2,0
20.1,1020.7,119.0,18.0,65.4,311.2,19.24,4.8049,-24.2,2.35,0,8,0
23.2,986.8,49.6,31.3,93.6,144.5,9.28,2.3519,-51.4,0.23,1,3,1
24.5,1020.2,63.6,5.6,90.5,446.0,24.26,5.9916,-46.3,1.32,0,7,0
27.9,965.7,14.2,22.9,65.3,640.1,8.39,2.1269,-58.9,5.49,0,10,2
24.7,1015.2,54.3,31.1,63.0,532.3,8.64,2.1907,-44.0,0.75,0,2,0
26.7,1016.6,41.0,37.8,82.9,342.8,15.08,3.7953,-54.5,1.15,0,4,0
26.5,991.0,71.9,9.7,70.7,424.4,20.93,5.2092,-52.4,3.94,1,6,2
27.5,991.0,60.9,25.3,80.1,379.2,13.67,3.4457,-49.4,13.04,0,11,2
25.8,1011.2,34.3,14.5,66.1,308.4,19.66,4.906,-20.8,0.36,0,9,0
26.0,1016.4,25.9,14.5,73.6,85.5,22.66,5.6185,-42.5,1.46,0,8,1
22.4,1000.3,29.0,26.1,84.7,236.3,10.62,2.6882,-57.9,1.32,0,4,0
21.6,1013.0,49.0,31.4,69.0,246.1,15.52,3.9016,-25.7,0.07,0,9,0
26.5,989.3,71.7,28.4,68.1,281.5,24.74,6.1029,-47.5,16.68,0,10,2
23.4,1016.7,59.8,34.1,73.0,434.7,16.85,4.2271,-53.5,3.95,0,9,0
27.0,959.5,30.3,25.5,76.7,520.9,12.08,3.0521,-46.8,1.85,0,5,2
28.8,983.6,56.2,29.2,91.2,59.7,19.15,4.7835,-44.4,3.04,0,11,3
24.5,1009.6,58.5,20.5,77.0,316.4,17.51,4.3891,-26.5,0.73,0,4,0
29.9,989.5,45.1,42.9,82.9,94.7,12.96,3.2704,-33.2,1.49,0,5,2
26.6,1021.6,25.7,18.4,67.7,553.7,25.0,6.163,-36.9,1.67,0,3,0
22.0,1015.3,32.1,29.2,81.8,329.6,11.79,2.9805,-45.1,0.17,0,1,0
26.6,1011.0,58.5,36.0,74.9,10.5,19.77,4.9342,-41.1,1.62,0,3,2
25.9,1002.4,50.8,9.8,92.2,481.9,11.92,3.0135,-55.0,4.63,0,8,1
25.9,1016.6,66.2,26.0,89.1,667.3,10.26,2.598,-28.5,0.94,0,7,0
30.0,986.8,61.1,24.0,72.9,414.4,18.06,4.5201,-40.6,1.09,1,10,2
24.4,997.1,62.4,6.9,68.8,452.5,22.98,5.6942,-44.7,0.57,1,2,1
31.6,1018.7,80.8,29.4,66.7,664.5,8.04,2.0393,-23.5,8.84,0,6,2
26.6,999.5,83.9,23.4,80.8,181.9,15.09,3.7977,-42.7,2.88,0,6,2
26.0,1013.4,39.9,28.0,78.1,162.6,12.33,3.1143,-20.8,0.66,0,1,1
28.0,1004.5,18.6,32.9,88.8,607.3,19.68,4.912,-32.3,11.42,0,6,2
25.7,1016.8,26.1,40.6,76.6,160.2,16.08,4.0405,-29.3,6.27,0,7,0
21.1,999.2,57.9,36.7,94.7,526.4,11.39,2.8804,-38.0,0.36,0,1,1
27.8,999.1,70.4,34.4,80.4,253.9,20.41,5.0858,-20.5,1.43,0,1,2
30.5,975.9,45.4,11.2,94.1,222.1,11.02,2.7876,-26.9,16.43,1,6,2
30.2,996.7,30.3,44.7,70.5,317.4,16.93,4.2475,-40.1,4.13,0,6,2
26.9,1022.2,58.2,64.0,86.0,315.5,22.2,5.5094,-50.7,2.96,0,9,1
23.3,1006.9,31.0,53.3,93.3,27.1,17.78,4.4536,-30.5,0.37,0,7,1
24.9,1009.0,28.1,36.8,72.1,195.3,23.01,5.7019,-24.0,0.2,0,4,0
27.1,1014.1,61.4,3.1,92.7,220.8,23.14,5.7309,-25.8,1.16,0,1,1
30.5,1002.2,54.3,7.3,61.0,261.2,14.18,3.5724,-29.2,2.99,1,10,2
23.3,1002.8,37.9,23.6,74.1,581.2,14.09,3.5512,-33.1,1.3,0,8,0
24.8,1012.0,31.2,16.4,81.9,253.7,19.04,4.7573,-42.6,0.32,0,3,0
28.7,983.2,33.3,30.5,93.3,74.8,14.37,3.6193,-24.2,1.7,0,10,2
27.7,1011.0,44.2,3.1,69.8,343.3,20.98,5.2218,-57.6,0.01,0,3,0
31.5,980.4,45.0,26.4,80.3,70.4,24.06,5.9462,-40.1,8.15,0,6,2
28.0,1014.3,66.3,39.2,90.5,742.4,12.4,3.1327,-49.2,2.09,0,9,1
22.7,1008.1,52.3,12.0,61.6,779.4,12.97,3.274,-39.2,0.99,0,2,0
20.9,1003.3,21.3,31.1,80.0,93.8,8.19,2.0784,-46.3,2.21,0,8,1
29.8,988.0,40.2,10.8,84.6,292.3,14.45,3.6397,-45.9,6.28,0,6,2
27.3,1008.6,13.2,9.2,75.5,422.3,14.25,3.5896,-44.9,0.04,0,3,0
26.9,1003.5,54.3,41.7,79.4,157.7,20.13,5.0192,-36.1,3.71,1,11,2
25.6,1011.0,67.0,41.8,71.6,226.6,17.0,4.2631,-42.3,0.92,0,4,0
20.6,1018.9,33.1,44.2,79.3,448.2,22.86,5.6653,-30.5,3.56,0,9,0
22.8,1005.6,34.6,22.8,64.1,604.8,20.99,5.2253,-27.0,1.55,0,12,0
24.4,999.8,50.0,30.6,91.3,132.0,10.23,2.5895,-45.0,1.03,0,3,1
26.6,989.0,45.0,21.8,94.8,251.5,12.82,3.2365,-53.1,12.96,0,10,2
24.7,1015.7,34.6,13.0,63.1,315.7,19.14,4.7821,-43.3,6.14,0,8,0
21.1,999.6,40.6,20.5,85.7,128.2,12.77,3.2236,-43.4,0.77,0,12,1
23.5,995.9,63.2,2.6,64.5,569.1,21.33,5.3043,-47.2,1.46,0,7,1
27.7,997.6,62.9,52.8,88.8,511.5,18.16,4.546,-48.4,0.14,0,8,1
21.7,1013.6,43.2,11.3,85.1,273.4,23.89,5.9069,-40.3,0.03,0,7,0
26.6,1017.7,27.9,23.4,61.4,497.1,18.2,4.5561,-52.9,1.56,0,12,0
26.0,1005.4,24.2,9.8,83.4,222.3,13.44,3.3906,-55.7,1.3,0,1,0
26.4,1013.0,31.7,17.1,63.6,364.4,24.47,6.0418,-48.7,0.76,0,2,0
27.5,1013.3,41.9,22.3,90.1,100.5,17.85,4.4692,-26.9,3.37,0,10,2
31.4,979.2,33.4,21.7,94.4,134.3,12.94,3.2649,-22.5,4.92,1,10,3
31.5,999.8,29.0,10.2,67.0,456.8,9.46,2.3971,-43.5,0.07,1,6,2
24.9,999.7,58.0,45.5,66.0,317.0,19.97,4.9798,-46.4,6.28,0,7,1
20.0,989.4,53.3,25.4,64.5,239.1,20.8,5.1797,-50.8,0.22,0,12,1
30.5,986.6,48.4,22.1,67.3,380.3,8.48,2.1501,-59.8,2.88,1,11,2
20.8,1016.3,40.1,31.3,87.2,798.5,12.36,3.1207,-48.1,0.24,0,3,0
27.2,997.3,33.7,14.8,64.5,237.6,10.38,2.6287,-51.6,3.18,1,5,2
28.3,976.7,35.4,17.2,66.9,387.6,23.37,5.7845,-59.3,2.15,0,6,2
21.5,1003.1,38.5,42.6,65.2,408.1,20.15,5.023,-58.5,0.11,0,2,0
27.5,988.0,92.8,18.9,67.5,322.2,21.17,5.2669,-29.9,4.17,0,10,2
25.8,1007.8,53.4,48.8,91.7,681.5,10.62,2.6868,-35.7,0.66,0,1,0
26.4,987.1,67.1,18.2,79.5,72.0,18.22,4.5604,-40.2,5.75,0,10,2
31.6,1008.3,37.1,21.1,63.8,265.7,13.2,3.3305,-24.8,0.73,0,6,2
30.2,982.1,28.7,25.6,86.8,260.2,18.8,4.7,-31.2,2.66,0,11,2
25.8,998.5,22.1,44.6,70.7,359.3,24.95,6.1525,-32.4,1.57,0,8,0
22.1,1019.0,39.8,20.1,65.4,273.9,20.98,5.2212,-28.1,6.38,1,2,0
23.9,1012.7,54.1,15.7,83.8,301.0,8.08,2.0511,-22.5,0.1,0,8,0
27.0,982.6,40.0,6.6,87.2,627.1,17.09,4.2864,-22.0,0.82,0,11,2
30.8,970.6,104.1,21.7,67.0,210.7,15.31,3.8501,-51.5,3.99,0,10,3
29.3,990.7,63.0,7.9,84.9,210.5,22.8,5.6505,-48.6,0.33,1,11,2
21.4,1001.8,19.3,35.6,83.4,314.9,18.87,4.7163,-32.4,0.11,0,1,0
31.2,957.8,41.2,26.9,90.9,436.1,11.37,2.8756,-33.2,8.97,0,5,2
26.4,1000.0,49.2,7.4,84.3,125.1,10.99,2.7801,-29.7,14.53,1,11,2
29.6,999.4,20.5,21.2,71.0,170.9,22.15,5.4978,-50.1,5.02,0,11,2
26.7,1010.5,23.4,25.1,72.0,500.7,18.93,4.7302,-36.7,1.02,0,8,0
24.3,997.6,67.6,13.4,86.3,92.5,18.95,4.7369,-51.1,0.01,0,2,1
23.0,1016.6,23.7,74.2,65.5,175.7,17.43,4.3675,-22.5,0.21,0,7,0
20.5,980.1,13.8,1.6,65.1,351.1,16.16,4.0579,-40.5,8.03,0,2,0
27.7,997.1,17.7,29.8,76.6,457.8,13.89,3.5006,-50.0,0.42,0,7,1
22.4,1015.7,19.5,19.7,60.2,334.5,11.95,3.0194,-27.3,0.75,0,8,0
23.8,1022.0,57.4,35.1,93.9,359.7,18.98,4.743,-25.3,1.12,0,2,0
31.6,994.0,71.5,31.7,74.2,706.6,11.6,2.9335,-24.6,1.13,0,10,2
31.8,979.2,55.8,19.0,76.5,648.1,18.58,4.6478,-34.5,3.17,0,11,2
22.8,1012.7,30.8,33.6,60.2,328.0,12.74,3.2168,-32.9,0.53,0,3,0
25.3,1014.6,60.6,18.3,78.1,489.7,11.49,2.9042,-26.1,0.68,0,9,0
23.2,1000.2,75.5,25.9,87.7,283.3,18.91,4.7269,-34.5,0.29,0,12,1
27.3,1022.7,29.5,13.5,87.8,719.7,10.02,2.5377,-47.9,1.62,0,3,0
28.7,989.7,42.0,20.5,93.2,459.3,9.0,2.2819,-40.8,4.42,1,11,2
23.7,997.6,16.4,6.3,90.8,188.4,11.73,2.965,-34.2,0.59,1,4,0
25.1,999.7,44.0,31.3,75.6,40.4,9.0,2.2811,-57.7,0.05,0,7,1
24.9,1014.6,45.7,25.3,65.5,103.7,24.47,6.0408,-51.4,7.49,0,12,0
22.0,1008.0,31.9,21.4,75.3,429.6,16.89,4.2368,-36.9,2.06,0,2,0
20.4,1013.7,64.9,31.9,60.6,99.9,14.54,3.6621,-57.7,1.55,0,2,1
22.1,1004.1,56.9,9.4,90.5,175.4,20.16,5.026,-38.6,0.31,0,9,1
24.5,1011.6,58.8,48.3,77.8,390.8,19.99,4.9853,-58.5,5.11,0,7,0
27.4,1020.3,44.3,13.1,84.8,315.0,8.09,2.0533,-24.1,1.41,0,12,0
27.6,1018.9,60.1,17.2,66.3,598.8,21.84,5.4246,-58.1,0.53,0,7,1
30.0,1002.3,53.3,37.5,93.4,551.9,8.44,2.1399,-23.4,16.7,0,10,2
27.1,989.1,23.5,11.9,75.7,255.0,10.51,2.6599,-21.9,5.46,0,10,2
26.7,1013.2,49.6,29.8,93.5,229.4,21.53,5.3518,-25.9,2.72,0,8,1
21.7,1008.1,54.7,21.2,76.0,455.4,14.16,3.5669,-53.4,0.08,0,7,0
24.1,1007.2,65.5,33.0,72.3,389.8,21.8,5.4168,-24.2,2.38,0,7,0
26.2,1028.9,86.4,38.6,69.3,329.1,8.7,2.2055,-24.7,0.53,0,12,1
26.5,1022.4,25.5,44.3,86.4,284.7,13.48,3.4008,-35.5,1.14,0,3,0
28.2,990.2,55.3,29.5,68.1,393.7,15.43,3.8813,-34.1,3.48,0,6,2
27.5,999.6,49.5,18.0,67.4,524.2,8.39,2.1291,-23.8,2.22,0,3,1
29.8,974.9,29.3,23.9,81.7,198.1,8.96,2.2715,-20.4,14.03,1,11,2
25.4,1008.4,37.2,7.8,86.1,161.0,9.02,2.2864,-20.7,1.02,0,8,0
25.8,1020.7,38.2,10.9,89.1,480.7,9.17,2.323,-30.8,1.01,0,3,0
26.8,1010.1,52.7,31.4,95.0,776.7,12.57,3.1728,-42.8,0.28,0,4,1
20.4,1012.2,54.3,28.5,89.9,304.1,16.84,4.2257,-55.9,0.41,0,3,0
24.4,1002.6,85.1,11.8,74.2,310.0,24.95,6.1521,-29.9,0.31,0,1,1
21.1,1021.1,41.4,40.1,65.6,285.4,16.17,4.0619,-38.1,0.2,0,9,0
20.2,1005.4,14.1,19.8,76.0,56.0,8.96,2.2708,-56.6,0.15,0,7,0
21.1,1007.0,52.7,28.7,90.4,495.9,15.24,3.833,-48.3,0.78,0,3,0
21.7,1002.4,41.1,42.7,88.8,260.9,24.58,6.0669,-23.1,2.09,0,3,1
30.1,965.7,43.1,31.3,93.4,417.5,21.65,5.3817,-53.9,0.23,1,11,2
26.9,1006.2,25.0,8.4,71.7,418.3,8.39,2.129,-25.1,24.19,0,11,1
29.2,987.2,42.9,19.9,87.4,436.9,21.22,5.2796,-49.5,0.08,1,6,2
27.7,1008.4,35.7,19.4,84.8,450.0,24.0,5.933,-37.9,3.93,0,9,0
22.7,1024.0,59.4,2.9,69.3,523.0,11.7,2.9579,-26.9,1.46,0,1,0
27.4,1006.0,35.4,19.7,68.3,416.7,14.53,3.6597,-43.3,0.17,0,9,0
22.4,1013.8,40.6,28.0,91.3,377.7,21.0,5.2262,-27.0,1.93,0,7,0
22.1,1018.3,70.6,29.5,92.1,50.1,9.28,2.3507,-56.4,0.35,0,4,1
22.7,1010.2,54.0,27.2,60.6,524.1,20.97,5.2205,-47.4,2.81,0,3,0
25.8,1015.9,26.4,17.0,60.7,282.2,22.89,5.6733,-34.2,1.56,0,4,0
31.9,1011.2,57.6,19.0,76.1,518.8,8.54,2.1652,-59.9,7.01,0,5,2
25.1,1004.5,21.6,15.2,93.5,590.9,15.93,4.0022,-41.1,2.45,0,9,0
27.8,1002.3,29.1,57.2,63.5,481.8,18.44,4.6124,-31.7,0.64,0,9,1
22.1,1026.3,51.7,23.2,83.7,327.1,12.24,3.0914,-57.5,1.24,0,8,0
28.6,978.7,64.5,24.0,68.3,197.3,14.72,3.7056,-26.8,4.21,0,11,3
26.3,978.7,17.3,28.8,79.9,258.2,13.82,3.4843,-54.9,4.43,0,11,2
27.2,1005.4,25.7,26.8,77.0,397.5,19.39,4.8409,-23.9,0.66,0,8,0
23.5,1010.1,57.8,24.2,73.5,361.7,22.65,5.6175,-41.1,3.36,0,9,0
21.5,1022.1,66.1,16.5,78.6,414.6,21.91,5.4417,-24.1,4.15,0,12,0
22.4,1007.2,73.1,26.9,84.6,119.1,17.8,4.4586,-41.9,0.18,0,8,1
30.3,989.0,54.4,33.6,90.8,377.5,17.5,4.3853,-41.6,2.71,0,10,2
27.5,1006.1,47.8,25.9,72.2,315.1,8.83,2.2377,-42.6,0.12,0,7,0
29.8,973.6,23.1,10.9,63.4,39.8,20.88,5.1985,-53.7,4.92,0,10,3
28.0,1011.7,18.4,19.2,61.7,501.3,17.7,4.4336,-23.3,3.1,0,4,0
26.0,1015.1,29.6,10.3,88.5,77.2,9.8,2.4834,-58.5,2.49,0,2,1
26.7,996.3,25.5,22.9,65.9,146.0,22.71,5.6298,-24.9,11.32,0,10,2
22.5,1007.5,80.3,15.5,82.7,429.5,15.25,3.8354,-23.8,0.47,0,8,0
26.8,1014.0,82.6,21.5,92.5,462.6,8.07,2.0463,-24.3,0.73,0,8,1
20.6,1007.3,67.0,49.3,65.4,507.0,15.3,3.8472,-57.8,0.62,0,1,0
28.8,1001.6,51.3,6.5,83.5,657.3,17.17,4.3062,-53.5,4.91,0,6,2
24.3,1006.6,33.4,20.9,68.7,360.9,9.34,2.367,-43.9,0.42,0,12,0
22.9,1006.7,40.4,30.6,95.0,252.4,14.91,3.7538,-45.2,0.96,0,9,0
27.2,983.1,103.9,34.5,61.0,453.6,15.27,3.8415,-33.7,1.84,1,11,2
26.0,1021.1,20.4,28.6,84.7,272.0,12.15,3.0687,-51.4,5.33,0,1,0
29.4,999.6,81.0,12.8,72.9,586.7,16.04,4.0291,-21.6,0.88,0,6,2
21.5,1000.6,87.4,26.6,79.7,250.7,9.23,2.3383,-54.4,4.87,0,9,1
22.2,1005.3,41.3,7.5,70.0,419.2,15.84,3.9818,-43.1,2.47,0,4,0
27.5,1020.5,18.2,13.2,66.9,204.9,11.64,2.942,-38.4,0.4,0,3,0
25.0,1006.8,16.2,14.9,94.2,318.4,16.69,4.1884,-54.2,4.45,0,7,0
22.0,1007.8,58.3,9.6,63.6,404.7,14.74,3.7114,-27.2,0.6,1,8,0
21.6,1012.5,39.4,16.9,63.7,249.7,8.26,2.0949,-42.7,0.26,0,12,0
23.9,1009.4,41.0,18.8,89.1,502.9,19.79,4.9372,-36.3,0.21,0,4,0
26.2,1005.1,34.9,26.3,86.4,526.6,13.3,3.3549,-46.9,1.13,0,12,0
24.4,995.4,86.0,20.5,67.6,266.4,14.02,3.5326,-36.4,1.17,0,8,1
31.6,968.3,63.7,14.6,72.8,374.0,23.27,5.762,-50.3,3.44,0,6,2
20.9,997.9,18.2,31.7,65.4,448.4,21.2,5.2749,-26.2,1.63,0,8,0
22.1,1017.8,53.3,22.9,68.5,344.2,18.11,4.5341,-43.9,0.06,0,1,0
22.3,1011.2,65.6,81.3,73.3,475.6,20.62,5.1372,-40.8,6.82,0,2,0
31.1,982.2,58.0,32.5,93.0,468.3,15.71,3.9491,-36.6,3.64,1,11,2
23.9,1012.8,26.8,30.7,64.8,269.4,9.11,2.3079,-34.6,3.05,0,2,0
25.2,1013.5,28.2,13.4,89.1,218.9,11.11,2.8092,-31.8,1.65,0,2,0
24.5,1001.8,49.1,42.4,66.5,482.6,10.11,2.5611,-28.4,0.47,0,9,0
26.0,974.4,56.4,20.6,76.4,880.9,12.6,3.1804,-31.1,1.3,0,5,2
26.8,1000.4,52.5,20.2,68.2,299.2,15.28,3.8446,-52.6,1.72,0,9,2
30.8,989.2,51.8,24.9,77.4,789.8,17.97,4.4984,-43.4,2.96,0,10,2
30.0,989.5,65.6,16.8,66.5,476.3,12.47,3.1494,-40.7,2.73,0,5,2
26.7,1011.4,20.5,17.8,61.5,112.8,11.11,2.811,-56.8,3.82,0,11,1
24.6,1013.2,74.5,10.0,66.4,446.0,23.3,5.768,-25.1,0.67,0,2,0
26.7,981.0,43.4,14.7,85.7,167.0,21.64,5.3773,-44.2,2.77,0,5,2
29.6,964.2,52.6,33.1,92.9,127.7,16.59,4.164,-49.2,2.78,0,11,3
24.0,1004.3,64.0,42.2,62.7,512.2,13.42,3.3859,-27.9,1.24,0,9,1
24.6,1005.8,51.7,13.3,65.8,265.4,20.73,5.162,-34.9,0.67,0,9,0
26.1,1000.4,14.3,13.1,90.1,439.8,16.78,4.2103,-38.9,5.73,0,10,1
28.0,1011.4,41.1,48.8,84.5,435.3,24.3,6.0014,-25.5,0.32,0,3,0
31.1,989.6,55.8,10.9,64.0,557.4,19.54,4.8776,-27.4,0.44,0,5,2
26.3,1011.0,29.8,2.4,62.3,885.8,9.35,2.3696,-41.5,5.51,0,12,0
29.3,958.2,35.0,17.3,62.5,508.3,24.8,6.1179,-29.2,18.27,1,11,2
20.9,1018.0,60.1,38.9,92.1,560.7,22.58,5.5995,-34.8,0.75,0,2,0
22.7,1017.8,71.3,24.6,68.7,192.2,12.57,3.1739,-39.4,0.0,0,3,0
24.5,1010.8,31.7,9.0,70.8,317.1,18.27,4.5718,-36.4,0.25,0,2,0
26.4,995.5,21.4,4.6,70.4,384.9,10.73,2.7147,-29.6,1.85,0,3,1
24.3,1019.8,31.7,26.4,68.1,54.4,24.27,5.9938,-40.2,0.04,0,2,0
25.9,1008.2,49.3,30.9,78.8,250.5,19.93,4.9711,-33.8,4.3,0,1,0
27.5,1007.9,64.2,27.7,67.7,565.3,15.1,3.7996,-24.7,2.99,1,9,1
28.2,977.9,79.0,47.0,91.4,739.1,11.57,2.9244,-57.2,4.84,1,6,2
30.3,987.7,64.6,37.0,84.6,378.2,14.57,3.6691,-51.2,1.96,0,10,2
23.7,1019.6,64.7,24.5,86.6,283.1,12.38,3.1258,-35.8,1.61,0,12,0
26.8,987.4,39.3,17.8,87.0,90.2,10.11,2.5608,-29.5,7.76,0,6,2
28.3,978.6,40.2,32.5,82.7,307.3,15.76,3.9614,-31.4,0.8,0,6,2
30.4,986.8,64.4,7.1,90.5,239.7,13.13,3.3137,-48.1,1.28,1,11,2
25.4,1007.5,20.3,33.4,74.3,177.9,17.74,4.4448,-29.3,1.76,0,9,0
22.4,1011.3,47.0,43.7,64.3,305.1,23.95,5.9213,-41.9,1.51,0,4,0
24.8,1016.4,32.5,11.7,93.6,32.6,14.05,3.54,-38.5,0.6,0,8,1
22.5,992.3,37.8,6.9,89.2,215.7,14.57,3.6697,-23.3,3.06,0,8,1
21.1,1018.5,40.4,25.7,83.4,559.8,10.98,2.7779,-26.6,1.01,0,7,0
21.8,1006.2,59.3,23.6,72.3,108.7,14.79,3.7238,-55.1,2.59,0,4,1
26.4,1012.2,60.9,31.0,61.9,446.0,10.62,2.687,-56.6,0.92,0,7,1
27.0,976.6,70.3,40.5,81.2,280.3,9.48,2.4017,-57.4,9.27,0,5,2
20.2,1015.9,20.6,35.0,65.7,170.7,11.55,2.9191,-40.7,1.68,0,9,0
29.5,976.7,36.9,3.8,82.2,579.9,20.31,5.0629,-24.1,20.32,0,6,2
20.8,1010.1,20.5,23.1,87.4,269.8,24.22,5.9829,-44.4,1.85,0,1,0
25.2,1004.6,10.8,25.6,76.8,165.5,16.62,4.1706,-56.7,1.44,0,12,0
31.0,974.2,63.4,16.7,68.8,156.8,10.98,2.7777,-47.3,1.0,0,5,3
27.4,969.3,23.5,24.7,60.2,108.3,8.76,2.2215,-22.6,8.73,0,6,2
23.2,997.7,41.8,43.2,63.9,479.9,12.65,3.1929,-29.0,0.25,0,4,0
30.8,990.4,75.8,20.9,93.8,265.0,18.75,4.6868,-46.2,0.48,0,10,2
27.4,1011.5,22.0,33.6,61.6,321.1,10.61,2.686,-36.3,0.95,0,6,1
24.3,1016.7,64.9,40.3,66.2,1120.9,24.52,6.0533,-35.8,0.25,0,3,0
25.5,1010.7,39.3,21.3,70.6,139.4,24.25,5.9891,-39.4,0.01,0,2,0
28.7,1004.1,73.9,5.2,89.4,655.0,14.2,3.5779,-51.2,6.8,0,6,2
24.6,1006.6,29.2,29.3,62.3,351.3,9.66,2.4464,-31.7,0.56,0,7,0
