rainfall_mm,rainfall_7day_avg,rainfall_intensity,river_level_m,river_level_change,soil_moisture_percent,elevation_m,temperature_celsius,humidity_percent,wind_speed_kmh,distance_to_river_km,month,risk_level
137.16,107.77,5.71,5.82,0.047,91.1,61.2,28.8,87.3,23.8,3.67,7,1
30.6,37.31,1.28,7.05,0.091,61.4,205.6,30.2,83.1,17.4,5.13,4,0
116.41,103.58,4.85,4.48,0.078,82.0,84.8,25.5,75.7,19.2,9.59,11,1
162.79,188.97,6.78,12.56,0.21,95.0,238.4,27.7,88.7,46.8,10.41,4,2
26.29,20.82,1.1,6.83,0.049,51.9,176.8,21.4,59.3,25.3,3.86,4,0
171.0,212.93,7.13,9.26,0.112,95.0,229.5,37.7,87.9,34.3,14.99,8,2
55.86,71.35,2.33,3.99,0.071,73.6,327.5,30.0,80.2,30.4,3.36,12,0
50.8,53.4,2.12,3.41,-0.036,71.9,124.0,26.6,76.5,36.4,11.04,10,0
27.94,35.88,1.16,8.43,0.094,60.8,760.1,27.9,59.9,21.1,11.58,3,0
58.98,80.03,2.46,5.13,0.103,62.7,173.3,26.2,82.6,16.3,10.41,5,0
83.02,80.86,3.46,3.35,-0.001,80.0,279.3,25.6,88.4,14.2,3.25,5,0
32.37,39.53,1.35,6.65,0.001,52.3,180.7,27.3,63.6,10.2,8.91,4,0
333.39,371.75,13.89,11.63,0.253,95.0,173.3,27.5,95.0,32.1,5.5,7,2
59.03,69.05,2.46,3.19,0.041,71.2,34.5,29.3,70.1,11.2,9.03,2,1
51.97,42.56,2.17,8.1,0.151,58.7,188.5,28.2,66.1,14.7,9.3,1,1
114.94,146.12,4.79,5.93,0.032,88.3,174.5,39.2,95.0,25.5,2.44,8,2
11.78,9.72,0.49,6.44,0.006,48.4,163.9,28.1,76.4,19.6,1.55,2,0
44.86,57.32,1.87,7.67,0.022,68.3,88.6,32.6,61.5,7.4,7.42,8,0
38.57,54.54,1.61,6.43,-0.02,60.4,150.2,24.7,74.3,15.5,7.33,3,0
112.41,88.96,4.68,7.62,0.093,81.1,173.7,29.3,84.6,19.9,11.2,4,1
47.87,59.98,1.99,7.18,0.045,72.3,91.7,33.2,81.2,8.7,6.78,4,1
89.75,105.72,3.74,6.39,0.033,88.2,137.1,30.0,72.9,17.4,3.14,11,1
32.89,45.05,1.37,5.51,0.037,63.2,383.6,29.7,71.1,18.3,11.03,4,0
20.65,22.66,0.86,7.14,0.065,49.0,156.2,25.2,67.2,23.6,9.09,3,0
48.43,34.11,2.02,4.57,0.081,75.4,297.3,25.6,88.4,29.1,3.53,5,0
56.12,77.41,2.34,3.09,-0.017,78.5,305.8,27.8,66.6,30.0,12.96,1,0
35.89,28.44,1.5,5.91,0.057,53.1,170.0,31.2,68.1,21.2,9.78,5,0
40.83,52.25,1.7,3.62,0.051,69.4,167.3,20.3,65.2,22.6,12.86,3,0
67.99,98.67,2.83,7.64,0.035,72.3,274.8,33.6,76.1,24.1,20.22,11,1
20.07,18.66,0.84,2.25,-0.064,60.3,215.1,23.2,66.5,40.8,5.98,1,0
96.27,124.64,4.01,5.45,0.128,76.7,210.4,26.7,70.4,46.7,4.29,11,1
49.65,69.85,2.07,9.98,0.101,70.5,181.7,25.7,76.0,23.8,3.39,5,1
31.79,29.19,1.32,5.43,0.024,69.2,196.3,27.2,77.2,16.1,1.42,2,0
39.14,29.78,1.63,4.41,-0.112,64.9,250.2,24.5,65.8,37.8,9.27,5,0
46.11,38.2,1.92,5.24,0.052,59.2,406.0,25.5,59.4,23.3,10.73,8,0
136.72,186.71,5.7,7.97,0.122,95.0,160.5,28.2,80.6,27.3,10.24,7,2
40.0,57.82,1.67,3.59,0.041,54.7,180.4,29.6,68.4,13.7,6.24,2,0
126.2,133.37,5.26,6.7,0.034,83.4,253.0,33.5,75.3,15.8,8.02,2,1
33.68,27.98,1.4,6.42,-0.014,52.9,248.5,30.8,61.3,28.4,10.49,4,0
40.23,36.99,1.68,9.61,0.071,58.0,39.9,27.2,84.0,29.5,7.16,5,1
278.86,367.19,11.62,13.29,0.259,95.0,188.3,33.3,95.0,8.5,10.94,9,2
33.61,29.59,1.4,2.31,-0.027,63.0,253.8,32.6,77.1,28.5,5.4,12,0
131.83,183.0,5.49,9.29,0.109,86.0,225.2,25.7,94.9,25.9,5.7,6,2
33.79,26.03,1.41,3.78,-0.014,62.6,279.1,26.9,59.9,27.2,2.76,2,0
164.76,196.12,6.86,8.35,0.19,95.0,201.8,30.2,95.0,11.1,8.59,6,2
30.39,22.74,1.27,3.06,-0.018,65.9,212.2,25.9,62.9,69.4,9.76,12,0
21.86,19.16,0.91,5.43,0.038,50.8,412.9,26.3,76.4,26.8,12.09,3,0
69.29,72.81,2.89,8.82,0.103,81.1,117.4,27.8,70.2,25.4,11.86,2,1
38.61,55.11,1.61,4.17,0.046,62.7,203.8,26.8,68.5,15.5,7.16,1,0
27.44,38.04,1.14,4.32,0.094,57.1,81.6,34.2,65.4,23.2,11.15,11,0
82.4,98.36,3.43,7.54,0.054,68.2,269.5,26.6,90.7,29.4,10.45,9,1
17.24,25.67,0.72,1.85,-0.037,49.3,38.9,30.5,65.4,23.9,9.67,12,0
56.46,65.73,2.35,2.53,-0.041,69.5,48.7,29.2,83.3,10.2,9.89,2,0
155.89,217.39,6.5,7.05,0.166,95.0,219.4,30.0,95.0,23.9,11.64,7,2
33.36,40.93,1.39,4.26,-0.004,64.3,763.3,29.2,82.8,28.5,15.71,4,0
106.82,140.16,4.45,10.59,0.127,93.2,213.2,27.4,90.8,20.8,4.73,9,2
44.86,45.35,1.87,4.95,0.011,59.5,132.3,22.7,72.9,26.1,9.69,10,0
14.33,13.94,0.6,6.01,0.072,55.4,249.0,20.7,81.5,9.1,12.35,2,0
192.31,281.49,8.01,8.56,0.11,95.0,63.2,26.1,95.0,36.9,8.35,7,2
121.39,154.52,5.06,5.08,0.06,84.1,158.8,27.1,77.5,16.8,9.47,8,1
15.4,20.83,0.64,3.55,-0.029,45.2,209.5,28.3,72.5,13.8,10.74,4,0
63.73,56.69,2.66,8.76,0.087,69.7,138.3,25.8,80.3,21.2,7.73,10,1
39.57,33.35,1.65,3.96,0.004,66.0,159.8,25.4,66.2,25.8,2.03,2,0
47.06,59.01,1.96,9.46,0.063,61.2,34.6,34.5,69.1,14.2,9.06,10,1
53.28,65.83,2.22,2.14,-0.012,69.6,167.8,31.3,62.2,16.1,4.14,4,0
49.5,37.03,2.06,5.37,-0.0,67.2,105.7,30.5,79.8,36.2,8.04,3,0
63.64,95.07,2.65,10.05,0.104,71.6,124.6,28.6,87.5,31.4,5.94,7,1
20.38,20.14,0.85,3.02,0.021,52.9,145.5,30.8,81.7,30.3,8.15,4,0
34.98,35.6,1.46,7.41,0.091,62.3,164.6,32.3,66.7,8.3,8.99,5,0
57.28,69.46,2.39,8.06,0.047,71.2,188.0,31.3,65.8,10.0,6.38,3,1
25.74,19.66,1.07,7.42,0.032,67.3,271.6,24.1,55.7,19.7,6.22,2,0
26.21,22.79,1.09,6.08,0.049,54.7,98.7,33.5,63.2,20.4,8.17,3,0
64.08,86.58,2.67,7.92,0.093,71.9,90.4,22.1,68.7,17.0,11.3,1,1
221.22,156.81,9.22,8.53,0.168,95.0,178.9,27.9,94.6,26.7,4.84,7,2
3.47,3.46,0.14,3.65,0.002,46.5,50.3,36.9,70.2,30.6,8.81,2,0
183.29,147.83,7.64,6.74,0.172,95.0,71.0,28.7,95.0,28.9,10.9,6,1
275.89,328.63,11.5,6.73,0.18,95.0,211.0,28.3,95.0,7.0,1.43,8,2
79.18,79.98,3.3,5.28,0.021,77.4,200.6,20.9,81.3,39.0,2.94,8,1
135.69,117.31,5.65,6.77,0.168,95.0,93.5,30.2,85.9,48.3,18.46,8,1
76.63,91.43,3.19,3.64,0.029,73.1,163.7,28.8,93.2,23.9,3.64,5,0
35.05,47.42,1.46,8.71,0.064,60.9,332.9,24.7,62.3,31.0,11.23,1,0
171.24,134.65,7.13,8.34,0.093,95.0,207.4,27.8,87.4,8.2,10.39,6,2
58.28,48.26,2.43,5.73,0.04,75.4,138.3,24.6,67.3,24.2,10.31,12,1
57.26,78.55,2.39,8.92,0.08,74.2,283.9,32.5,73.0,28.9,3.78,4,1
130.65,134.59,5.44,9.95,0.157,85.4,190.1,25.7,93.5,22.8,4.2,6,2
211.02,193.27,8.79,10.35,0.142,95.0,199.8,28.0,95.0,12.6,11.68,8,2
141.77,141.37,5.91,5.83,0.144,95.0,78.5,30.8,83.7,34.1,8.26,7,1
38.28,44.79,1.59,2.46,-0.027,53.3,170.5,23.3,66.6,32.8,6.38,12,0
83.33,70.73,3.47,7.31,0.021,70.4,156.7,16.5,88.6,19.8,6.71,10,1
22.76,32.73,0.95,4.33,-0.021,63.3,448.8,24.2,62.6,23.4,10.21,12,0
46.62,37.82,1.94,4.36,-0.035,73.5,138.3,23.9,87.4,13.8,15.74,11,0
201.51,164.42,8.4,9.82,0.145,95.0,487.6,23.7,95.0,11.1,1.32,9,2
144.41,114.35,6.02,9.75,0.108,95.0,104.0,28.6,83.9,45.3,6.94,6,2
45.15,48.23,1.88,8.34,0.077,57.3,239.8,25.2,69.2,32.4,9.96,2,0
54.24,46.86,2.26,8.06,0.033,77.8,163.0,21.7,88.1,21.1,5.11,4,1
104.96,106.84,4.37,3.3,0.031,78.7,87.6,26.9,80.4,17.1,7.38,6,1
125.89,144.3,5.25,3.95,0.04,95.0,124.8,33.2,86.1,32.0,3.55,8,1
42.37,32.49,1.77,8.17,0.036,73.5,251.1,33.6,63.5,30.6,9.84,5,1
114.15,88.4,4.76,3.96,0.074,85.6,436.9,30.2,76.2,36.2,10.28,7,1
57.44,56.65,2.39,5.62,0.027,62.6,291.4,32.0,65.7,17.4,3.1,2,0
40.8,47.4,1.7,7.67,0.052,58.7,153.6,29.5,58.3,17.5,3.83,10,0
47.01,43.41,1.96,6.92,0.044,61.8,40.2,35.8,87.6,36.7,7.79,4,0
46.16,56.34,1.92,6.61,-0.027,59.9,82.5,22.3,73.6,13.6,9.72,3,0
74.14,93.88,3.09,9.86,0.084,81.5,528.7,31.5,80.8,22.1,8.93,10,1
178.41,138.67,7.43,7.0,0.148,95.0,157.7,26.8,87.1,40.7,8.63,8,2
83.15,123.99,3.46,8.66,0.121,73.4,116.9,28.5,86.4,11.7,10.62,9,1
7.13,10.19,0.3,6.81,0.033,51.0,130.7,38.8,78.2,21.8,10.68,12,0
51.22,62.07,2.13,6.72,0.028,72.8,413.2,26.0,89.8,15.6,5.94,3,1
77.76,83.83,3.24,3.4,0.047,85.4,141.8,25.2,74.0,17.2,6.96,6,1
161.43,220.62,6.73,9.98,0.122,95.0,110.0,20.8,95.0,24.0,3.28,6,2
33.84,47.35,1.41,5.24,0.012,59.2,142.9,25.4,75.0,24.4,14.43,5,0
354.6,493.0,14.77,9.92,0.329,95.0,264.0,30.1,95.0,17.7,11.39,7,2
121.93,93.17,5.08,6.74,0.109,94.2,167.7,29.8,95.0,30.1,6.57,8,1
57.36,64.48,2.39,8.44,0.061,68.1,94.7,35.6,68.0,26.4,15.4,4,1
253.33,264.47,10.56,10.16,0.172,95.0,220.8,23.6,95.0,15.9,13.83,6,2
10.61,10.77,0.44,4.1,-0.044,56.5,159.3,28.2,67.6,8.9,12.52,10,0
26.1,32.41,1.09,4.92,-0.03,68.5,201.3,25.6,56.0,29.9,5.57,11,0
12.53,18.06,0.52,3.13,-0.057,47.1,101.6,24.4,63.8,19.0,9.43,4,0
84.26,78.42,3.51,7.91,0.006,74.9,117.2,22.1,89.7,28.2,8.07,2,1
70.52,59.36,2.94,5.34,0.012,80.1,120.1,31.0,68.6,22.7,12.62,10,1
41.55,39.92,1.73,9.31,0.106,56.8,336.5,26.9,76.1,19.4,8.88,1,0
38.07,43.38,1.59,2.75,0.017,53.4,539.7,35.9,80.3,16.5,3.55,12,0
16.89,22.12,0.7,2.52,-0.075,57.2,397.0,40.6,76.3,30.9,9.93,4,0
5.38,6.52,0.22,3.12,-0.028,46.9,197.7,23.7,74.0,26.8,8.22,9,0
30.31,28.48,1.26,4.13,-0.001,54.3,327.4,31.4,80.9,8.1,25.32,3,0
40.01,30.22,1.67,3.01,0.041,67.3,96.9,28.6,78.6,11.3,7.02,1,0
130.65,190.5,5.44,5.08,0.11,89.5,113.1,30.4,77.6,13.7,11.96,8,1
59.88,55.93,2.49,5.26,0.098,70.9,41.2,29.1,84.8,21.1,5.18,12,1
48.87,37.02,2.04,7.88,0.074,72.7,277.9,24.1,83.0,17.5,4.06,10,1
34.35,25.54,1.43,6.55,0.003,57.0,144.7,28.1,64.3,22.1,6.02,2,0
41.55,47.87,1.73,8.89,0.07,72.7,136.6,28.6,61.8,16.6,15.18,11,1
55.23,38.85,2.3,5.07,0.086,77.7,333.8,32.9,64.2,30.1,6.97,12,1
27.14,27.36,1.13,6.74,-0.019,61.7,157.9,27.8,72.0,23.7,8.14,10,0
156.53,219.78,6.52,7.4,0.171,95.0,148.5,34.4,95.0,23.3,7.52,9,2
82.04,60.25,3.42,8.16,0.09,78.2,151.2,30.4,91.6,33.9,9.99,6,1
33.79,38.01,1.41,6.23,0.027,70.5,211.9,26.9,79.9,30.4,8.97,3,0
20.95,21.08,0.87,4.36,0.007,53.6,192.2,22.8,71.3,25.0,7.36,11,0
270.46,307.67,11.27,10.84,0.161,95.0,197.4,31.2,95.0,11.3,13.12,7,2
49.08,71.37,2.05,7.71,0.042,75.6,87.3,28.9,64.0,28.4,3.13,12,1
43.74,52.87,1.82,4.03,-0.012,61.5,314.7,31.4,80.0,8.5,10.86,3,0
25.27,18.59,1.05,6.03,0.064,55.5,490.6,24.9,77.9,14.9,12.23,5,0
25.9,22.47,1.08,3.27,0.04,53.5,370.9,29.5,76.5,48.2,19.03,3,0
58.25,48.99,2.43,4.98,0.071,66.5,204.9,31.0,73.4,35.9,18.85,11,0
37.71,46.51,1.57,5.21,0.093,62.5,12.9,29.4,64.4,17.5,10.62,4,1
29.65,39.93,1.24,3.56,0.001,67.8,181.3,22.2,84.6,20.7,10.41,12,0
96.05,125.19,4.0,9.53,0.084,79.2,212.6,30.4,88.9,11.0,6.4,7,1
27.45,24.06,1.14,2.38,0.006,68.2,180.1,30.7,78.3,14.7,8.01,4,0
368.06,381.15,15.34,13.68,0.292,95.0,134.8,14.1,95.0,7.0,9.83,7,2
34.61,46.68,1.44,8.94,0.08,67.0,145.1,23.7,65.4,10.2,11.88,3,0
29.01,29.98,1.21,4.98,-0.006,55.7,36.5,23.9,62.5,28.5,13.61,5,0
58.95,83.52,2.46,7.23,0.014,62.2,241.0,24.3,84.7,14.2,4.16,5,1
48.4,34.68,2.02,2.83,-0.033,68.7,144.5,28.5,63.6,27.2,15.45,11,0
160.97,170.48,6.71,5.9,0.123,95.0,265.5,28.9,86.5,20.2,1.09,9,2
73.89,94.7,3.08,6.84,0.061,72.2,177.2,30.7,65.5,19.8,8.13,5,1
61.3,47.69,2.55,8.46,0.13,71.1,169.4,28.0,65.8,45.3,6.19,10,1
16.69,23.23,0.7,2.16,-0.033,63.0,273.1,24.0,70.5,37.4,7.3,3,0
13.83,11.75,0.58,1.17,-0.04,52.8,365.1,26.3,60.2,10.2,12.56,2,0
142.4,106.12,5.93,7.25,0.125,95.0,147.9,30.0,81.5,13.1,9.26,9,2
49.81,52.81,2.08,8.97,0.046,76.2,127.1,24.2,75.6,17.7,5.06,10,1
26.62,24.76,1.11,6.56,0.026,50.4,198.6,29.6,73.3,25.8,2.43,2,0
48.56,43.73,2.02,7.85,0.075,62.4,155.2,34.2,62.9,25.2,15.53,5,0
224.83,296.29,9.37,9.74,0.166,95.0,236.6,27.4,95.0,27.7,11.77,6,2
317.09,224.07,13.21,11.17,0.274,95.0,116.1,26.5,95.0,24.4,9.08,6,2
193.99,167.45,8.08,8.83,0.121,95.0,213.9,20.5,95.0,18.7,5.06,9,2
110.4,142.89,4.6,7.87,0.06,84.2,374.6,28.2,83.1,36.4,5.37,8,1
185.56,259.59,7.73,9.54,0.155,95.0,174.6,33.1,95.0,16.3,6.88,8,2
64.3,70.27,2.68,9.1,0.064,69.6,165.9,26.5,65.0,19.9,2.55,6,1
225.97,238.84,9.42,13.22,0.266,95.0,160.2,20.1,95.0,34.0,14.55,7,2
22.93,20.3,0.96,3.9,-0.001,58.1,336.3,32.1,67.0,11.0,6.16,10,0
46.69,47.05,1.95,7.46,0.105,72.8,235.9,26.1,69.7,23.9,6.7,5,1
23.24,18.23,0.97,6.23,0.12,52.7,90.2,29.7,83.4,23.8,3.39,3,0
38.25,48.09,1.59,6.98,0.032,61.0,334.4,22.8,75.8,12.7,3.88,1,0
125.17,126.86,5.22,9.92,0.106,90.1,162.5,22.2,91.9,26.7,5.22,8,2
79.23,99.66,3.3,9.16,0.11,70.5,77.9,27.6,90.5,18.8,7.63,12,1
20.97,28.15,0.87,7.55,0.006,57.8,367.1,31.8,65.5,26.7,4.34,11,0
23.19,17.54,0.97,8.39,0.084,55.2,64.7,31.2,66.0,36.1,10.62,11,0
121.1,159.64,5.05,9.11,0.159,95.0,270.9,29.7,92.8,19.2,7.33,9,2
92.7,76.66,3.86,4.14,0.025,86.4,304.4,36.0,81.0,22.7,7.68,9,1
66.36,57.86,2.76,5.89,0.056,65.9,150.3,31.6,83.1,23.2,9.76,8,0
156.47,203.19,6.52,7.78,0.184,95.0,167.0,28.5,95.0,28.0,6.31,6,2
29.89,37.64,1.25,4.35,0.006,55.2,180.5,27.7,57.1,20.3,6.63,7,0
95.09,122.57,3.96,5.85,0.051,86.7,311.8,29.1,95.0,42.7,18.61,8,1
23.41,27.08,0.98,4.46,0.027,65.6,276.3,27.7,64.0,5.5,1.3,10,0
192.54,140.78,8.02,11.95,0.205,95.0,321.3,36.1,95.0,23.8,12.52,8,2
45.77,63.84,1.91,6.58,0.096,67.9,157.5,22.0,73.0,37.6,10.72,11,0
53.9,74.97,2.25,3.94,0.053,59.1,298.5,30.6,83.2,26.6,5.99,11,0
165.98,204.85,6.92,10.87,0.16,95.0,344.6,33.3,95.0,12.2,15.32,8,2
68.02,51.89,2.83,8.0,0.065,76.7,60.7,24.7,71.0,26.3,13.77,5,1
53.28,68.73,2.22,5.07,0.056,67.1,209.8,28.3,89.9,35.6,2.36,11,1
55.52,57.36,2.31,3.44,0.018,77.4,101.1,27.8,66.1,6.1,12.12,3,0
177.01,166.31,7.38,6.55,0.132,95.0,134.0,25.7,89.8,25.6,8.89,7,1
79.59,74.97,3.32,6.61,0.051,78.1,107.8,29.2,80.6,14.9,6.03,8,1
37.41,38.72,1.56,6.04,0.054,65.8,323.9,34.6,82.7,59.2,6.74,10,0
26.46,28.49,1.1,8.31,0.099,62.0,174.4,30.3,67.8,28.8,7.53,4,0
59.57,76.78,2.48,6.0,0.039,79.3,420.2,32.0,87.6,23.5,2.73,1,1
45.32,42.09,1.89,8.54,0.041,58.0,208.5,29.8,75.8,35.8,2.7,3,1
33.37,29.18,1.39,7.07,-0.007,51.1,365.1,24.5,61.2,16.9,10.59,4,0
18.82,27.45,0.78,8.75,0.045,62.0,100.4,28.7,72.2,26.7,11.62,1,0
275.25,348.61,11.47,11.49,0.277,95.0,157.1,31.0,95.0,18.6,8.28,7,2
84.76,126.9,3.53,7.69,0.038,75.0,219.6,30.8,94.6,26.7,9.69,1,1
47.49,38.01,1.98,8.34,0.071,67.1,348.3,23.5,84.3,26.5,0.89,10,1
25.47,24.6,1.06,4.39,0.026,60.4,152.5,26.4,73.1,17.7,7.44,3,0
54.78,38.8,2.28,8.27,0.082,78.1,112.0,33.9,68.8,25.1,4.95,1,1
22.73,32.8,0.95,1.73,-0.027,66.9,164.5,29.2,74.4,31.2,5.82,12,0
18.61,14.74,0.78,7.83,0.007,63.5,174.9,33.9,76.4,13.8,9.71,10,0
48.08,69.83,2.0,6.81,0.05,59.5,98.7,29.0,63.7,28.2,12.96,1,0
91.92,130.71,3.83,6.75,0.112,89.3,289.7,33.0,80.4,8.4,12.25,8,1
140.43,109.4,5.85,4.53,0.087,95.0,205.8,27.0,95.0,25.4,11.74,7,1
100.35,94.03,4.18,7.73,0.004,74.5,146.9,24.6,88.5,18.9,4.49,7,1
294.2,223.93,12.26,12.77,0.225,95.0,121.1,29.7,95.0,15.3,9.3,6,2
255.73,257.7,10.66,10.28,0.23,95.0,411.4,27.3,95.0,12.4,3.09,8,2
99.02,125.94,4.13,3.43,0.042,85.3,414.6,27.2,86.3,25.8,4.11,2,1
96.54,137.03,4.02,11.3,0.147,82.8,140.0,26.6,86.0,23.4,3.97,8,1
19.28,27.05,0.8,5.74,0.017,61.1,369.2,21.7,81.3,25.7,15.9,4,0
17.66,12.97,0.74,5.87,-0.034,63.8,118.8,19.5,56.8,26.7,11.36,3,0
61.39,68.22,2.56,3.26,-0.025,61.2,43.0,31.0,74.1,22.3,21.17,10,0
203.46,163.97,8.48,7.53,0.135,95.0,650.5,36.7,95.0,8.1,6.44,6,2
34.66,35.83,1.44,3.35,0.016,66.7,254.2,23.2,57.4,25.7,2.95,5,0
13.35,18.21,0.56,6.88,-0.034,50.0,49.4,24.4,65.3,22.2,10.38,2,0
18.07,24.03,0.75,4.3,0.019,54.0,477.6,26.0,61.8,31.3,8.21,11,0
69.4,57.65,2.89,3.59,0.011,64.9,56.1,24.6,72.5,14.3,6.61,8,0
78.09,82.29,3.25,6.24,0.093,69.3,247.9,18.5,70.1,14.7,6.25,7,0
36.43,49.61,1.52,7.32,0.075,57.1,448.6,25.7,60.9,18.9,4.7,6,0
63.62,78.79,2.65,7.11,0.007,76.0,182.2,26.7,92.5,26.1,2.22,4,1
21.29,27.88,0.89,5.1,0.002,56.0,232.9,34.0,55.0,15.1,8.71,3,0
55.22,39.37,2.3,8.68,0.074,63.5,230.2,25.1,81.3,26.5,10.21,11,1
91.27,119.8,3.8,4.54,0.105,76.9,242.1,27.8,74.6,20.1,7.55,10,0
43.56,47.17,1.82,8.03,0.019,54.8,67.6,19.9,71.5,14.8,6.58,11,0
60.35,61.45,2.51,6.88,0.002,60.6,158.9,29.3,86.1,23.9,7.21,11,0
144.35,161.72,6.01,9.19,0.125,95.0,303.6,28.6,87.0,20.2,1.56,6,2
77.29,56.73,3.22,7.57,0.061,72.1,357.2,15.2,92.2,11.6,4.36,8,1
6.52,7.38,0.27,7.32,0.009,52.5,123.2,30.2,63.0,9.1,7.7,12,0
7.02,9.58,0.29,7.21,-0.027,43.7,320.1,27.3,61.0,27.6,6.18,4,0
50.28,60.63,2.09,5.51,0.114,70.8,315.9,30.8,78.6,7.2,9.52,8,1
103.21,138.01,4.3,5.74,0.098,84.9,99.8,22.0,90.2,38.8,8.81,6,1
116.96,158.61,4.87,6.56,0.18,84.0,163.4,27.9,90.9,22.8,15.04,7,1
97.49,122.87,4.06,9.03,0.1,83.1,317.4,27.3,78.6,44.7,19.5,11,1
37.91,37.76,1.58,5.41,0.004,64.2,207.4,32.2,62.6,15.5,3.12,1,0
29.76,30.37,1.24,3.07,0.016,57.7,201.8,31.8,80.4,40.6,4.22,3,0
13.43,12.22,0.56,4.58,-0.024,58.0,131.7,26.0,53.9,10.6,6.14,2,0
154.36,174.77,6.43,6.42,0.165,95.0,72.4,28.6,95.0,24.5,5.1,8,1
37.82,32.55,1.58,3.25,-0.026,56.5,184.9,24.0,69.4,28.4,16.8,10,0
43.56,63.1,1.81,8.28,0.094,73.5,198.9,27.7,67.1,14.9,8.51,3,1
6.31,5.06,0.26,4.88,0.073,60.2,227.8,27.0,59.2,12.0,4.14,4,0
