temperature_c,temp_max_c,temp_min_c,temp_trend,humidity_percent,heat_index,wind_speed_kmh,uv_index,consecutive_hot_days,urban_area,soil_moisture_percent,cloud_cover_percent,previous_heatwave_30d,month,risk_level
32.1,33.5,24.6,0,82.5,35.4,29.4,3.9,2,1,45.7,96.3,0,10,0
19.1,21.5,9.1,0,89.2,17.5,26.8,0.3,2,1,60.3,87.8,0,8,0
24.3,23.6,14.1,-1,83.1,23.9,21.8,1.9,0,1,62.8,29.4,0,11,0
25.2,29.2,17.1,0,90.6,25.2,23.5,2.0,1,0,46.1,45.4,0,2,0
15.0,19.7,10.3,1,95.0,15.0,37.0,0.0,0,0,60.8,97.9,1,10,0
44.9,47.0,36.5,1,60.6,53.0,18.4,6.8,1,1,27.7,10.1,1,6,2
21.9,23.3,8.7,1,95.0,21.0,21.3,2.0,1,1,56.2,22.2,0,9,0
43.7,47.5,36.8,-1,52.0,51.4,26.4,8.0,4,0,32.0,96.1,0,7,3
26.4,30.9,16.4,1,83.8,26.4,16.9,4.0,3,1,61.6,15.6,1,8,0
29.6,33.8,23.0,1,88.9,35.8,46.2,5.1,2,1,51.8,45.7,0,8,0
22.8,24.4,14.2,-1,86.3,22.8,18.3,0.5,1,1,54.5,83.0,1,1,0
28.0,26.9,16.5,0,90.6,25.9,10.9,3.1,1,1,59.1,35.2,0,11,0
36.8,38.9,29.0,1,62.9,41.7,17.1,5.2,0,1,52.1,42.9,1,4,0
29.2,32.7,20.3,1,86.5,35.0,41.1,4.1,5,1,41.9,31.7,1,9,1
24.3,27.3,14.9,0,82.4,24.3,31.4,1.7,0,0,61.0,45.2,0,3,0
29.6,32.7,20.0,0,86.4,36.4,36.0,4.7,2,0,47.3,14.8,1,4,0
19.3,21.6,15.4,0,91.6,19.3,8.4,1.7,3,0,64.9,88.8,0,3,0
43.2,44.7,33.7,1,51.9,50.7,29.0,8.6,2,1,32.8,18.1,1,7,2
52.7,53.4,39.6,0,54.0,59.4,32.1,10.0,1,1,26.1,81.4,0,6,2
43.8,46.4,36.9,0,63.1,52.7,23.4,8.1,4,1,41.4,57.1,1,7,3
22.0,28.0,12.2,1,85.5,22.0,20.2,2.2,0,0,54.1,99.9,0,12,0
41.0,43.3,34.4,0,58.4,47.0,7.0,6.9,3,1,31.8,92.0,0,9,2
36.7,41.9,29.7,1,70.8,44.7,25.1,6.0,1,0,35.4,79.5,0,10,1
21.1,24.3,17.8,0,83.8,21.1,17.0,3.4,4,0,61.1,82.4,0,2,1
20.8,20.9,10.3,1,95.0,20.5,8.3,2.4,1,1,56.7,95.7,0,11,0
19.9,22.7,11.7,1,90.9,18.0,25.0,1.1,1,1,53.2,47.9,0,1,0
45.7,48.4,37.1,0,49.9,53.6,22.9,8.2,4,0,33.5,48.0,0,5,3
45.0,49.9,41.5,0,63.0,54.8,23.1,7.5,3,0,39.9,87.1,0,5,2
19.6,20.0,13.2,0,95.0,18.8,28.4,0.9,0,1,54.5,22.9,0,2,0
27.5,30.9,21.7,0,72.4,32.4,20.6,4.2,2,0,43.9,38.7,1,2,0
25.8,33.7,19.1,0,75.9,25.8,23.2,3.1,1,0,53.9,4.8,0,1,0
15.0,18.4,6.6,0,95.0,15.0,27.2,1.4,0,0,62.1,82.0,0,2,0
51.7,50.2,44.9,-1,44.4,58.4,29.5,9.9,3,1,38.0,25.4,1,4,3
37.2,40.1,25.8,0,69.9,43.7,24.0,4.6,1,1,50.7,57.4,0,6,0
34.1,36.5,25.1,-1,65.0,40.6,33.4,6.6,2,0,55.0,66.0,0,9,1
35.2,37.1,23.5,1,76.3,40.0,14.6,5.3,1,1,50.9,59.1,0,8,0
30.3,33.8,18.7,1,80.7,36.7,21.0,4.4,1,1,58.6,37.7,0,2,0
25.5,28.9,17.4,-1,90.2,24.5,19.8,1.1,2,1,60.2,22.7,0,9,0
29.3,34.1,24.0,1,77.6,28.0,35.9,3.3,2,1,45.5,20.3,0,12,0
29.7,36.1,23.1,0,73.6,35.4,23.8,4.0,2,0,54.5,27.1,1,2,0
24.9,25.9,15.0,1,83.1,24.0,16.5,2.9,1,1,53.6,35.9,0,11,0
34.9,38.7,26.1,1,71.2,39.1,15.3,4.2,3,1,41.1,20.5,1,5,0
48.1,54.1,38.4,1,55.5,57.0,30.7,7.2,1,1,34.7,12.2,0,6,2
26.9,32.7,20.5,1,81.8,28.0,19.4,2.7,1,1,59.4,76.8,0,9,0
32.3,31.2,19.1,-1,69.8,36.1,48.3,3.1,0,1,41.2,34.2,0,8,0
15.0,20.2,6.2,0,95.0,15.0,45.3,1.5,4,0,67.9,87.9,0,1,1
38.6,44.4,31.3,1,57.7,45.7,19.0,5.6,5,0,38.1,84.7,0,6,2
27.3,31.4,23.3,1,89.1,33.2,50.9,3.3,1,0,54.2,28.4,0,10,0
25.6,29.0,22.5,1,86.3,25.6,14.1,2.5,0,0,46.3,29.1,0,3,0
30.5,33.1,24.4,1,86.2,36.4,27.7,2.6,1,1,39.9,35.8,0,12,0
27.3,31.0,18.0,1,84.9,27.9,35.2,1.9,1,1,54.7,9.3,0,1,0
36.6,43.0,29.6,1,77.6,45.0,17.2,7.1,1,1,46.2,63.4,0,7,1
35.8,40.9,28.4,1,70.6,43.5,24.3,5.0,0,1,40.5,38.1,0,1,0
24.6,29.5,16.4,0,92.7,24.6,25.6,3.4,1,0,50.6,1.2,0,2,0
38.8,45.0,29.1,1,65.5,47.0,23.5,5.9,0,0,40.3,1.2,0,11,1
18.6,25.5,13.1,0,89.5,18.6,13.8,1.9,3,0,67.0,92.3,0,11,0
30.4,35.4,21.0,-1,75.7,36.6,21.2,3.2,1,0,41.6,42.8,0,6,0
23.3,28.0,11.5,1,95.0,22.9,19.9,1.4,0,1,63.8,29.5,0,11,0
30.3,33.9,21.0,1,73.9,36.9,10.2,5.4,2,1,45.7,77.5,0,4,0
32.7,39.6,26.3,1,69.1,39.2,10.4,5.0,0,0,40.9,38.6,0,10,0
28.5,29.2,18.7,1,77.5,26.9,36.5,3.0,2,1,54.9,27.1,1,8,0
47.8,51.1,39.0,0,54.2,54.9,20.9,6.3,3,1,22.7,85.7,0,5,2
35.1,40.3,25.4,-1,65.4,42.0,15.0,6.3,2,0,51.8,51.8,0,2,1
23.7,31.6,15.8,0,77.1,23.7,29.6,2.0,1,0,56.5,38.0,0,12,0
36.3,38.7,27.4,-1,75.6,40.7,14.5,5.4,0,1,35.8,55.3,1,12,0
42.9,46.0,33.7,1,63.7,52.2,33.6,6.3,5,0,45.1,57.0,0,5,2
26.5,29.1,19.5,0,87.3,26.3,16.6,1.2,1,1,63.5,41.8,0,1,0
15.7,19.5,10.9,1,95.0,15.7,22.1,1.3,1,0,68.4,89.1,0,1,0
42.6,47.6,34.9,0,49.1,49.7,50.2,6.4,0,0,35.8,97.1,0,8,2
40.3,45.4,36.8,1,54.5,47.4,26.9,6.1,4,0,47.6,82.5,0,5,2
23.8,24.6,17.0,-1,95.0,22.2,29.0,3.3,2,1,54.9,23.1,0,2,0
35.1,41.8,31.5,1,66.8,42.2,34.9,5.6,2,0,53.6,73.5,0,1,1
17.7,17.5,12.0,1,90.2,16.9,32.9,0.7,1,1,55.5,17.0,0,8,0
17.8,20.6,6.7,0,95.0,17.8,11.4,1.2,1,1,71.6,64.8,0,3,0
32.0,34.5,27.3,0,79.1,39.1,17.7,6.2,3,0,45.8,14.5,0,5,0
18.4,19.6,9.7,0,94.0,17.0,39.9,0.6,1,1,67.5,89.3,0,1,0
49.8,53.7,43.4,1,54.0,58.3,15.2,10.1,0,1,20.9,6.7,0,5,2
22.6,25.0,12.6,1,95.0,22.6,28.5,2.8,0,1,53.7,24.3,0,12,0
17.8,20.6,11.6,-1,95.0,16.2,34.7,1.3,0,1,63.9,41.2,0,9,0
17.7,22.0,9.5,1,95.0,17.7,18.1,0.6,0,0,70.7,12.8,0,1,0
41.0,45.6,33.5,1,51.9,48.1,35.5,5.9,7,0,30.1,69.5,0,4,2
43.5,46.0,35.1,1,63.4,52.8,22.2,8.7,4,0,34.8,35.6,1,4,3
17.8,19.3,10.9,-1,95.0,17.4,8.3,0.0,0,1,68.5,62.2,0,10,0
36.4,37.4,29.3,0,77.2,41.9,5.8,5.2,1,1,53.0,38.1,1,12,0
15.0,22.8,6.5,-1,95.0,15.0,40.2,0.6,3,0,67.3,24.5,0,9,0
30.9,38.8,27.3,1,79.9,37.7,16.0,5.5,1,0,40.6,94.1,0,9,0
33.1,38.3,28.1,0,63.5,39.2,14.2,4.9,2,0,38.2,37.7,0,2,0
28.3,28.3,21.8,1,73.8,28.4,22.3,3.8,0,1,51.0,1.0,1,10,0
31.3,34.2,28.3,1,66.4,37.0,13.2,3.9,0,0,54.2,75.4,0,9,0
36.2,37.6,27.1,1,76.7,43.7,41.9,4.7,4,1,47.0,43.9,0,4,1
35.3,37.9,27.2,-1,72.8,42.8,29.5,6.4,1,1,50.4,2.4,0,1,1
37.5,36.5,28.8,1,70.0,43.2,25.9,5.0,1,1,37.1,50.0,1,4,0
25.5,24.3,13.3,1,86.4,24.1,27.0,0.9,3,1,57.6,65.0,0,8,0
39.1,42.6,28.6,1,62.0,45.0,27.8,6.6,2,1,43.1,70.4,0,10,2
38.3,45.1,30.3,1,71.8,47.0,11.5,6.5,7,0,37.2,51.8,1,7,2
44.6,48.4,32.5,0,60.0,50.9,36.1,7.8,3,1,26.7,17.0,1,5,2
23.4,30.8,17.6,0,92.7,23.4,28.2,2.7,0,0,54.3,94.4,0,3,0
50.3,54.8,42.6,-1,56.5,58.2,22.5,7.4,4,1,30.2,6.1,0,4,3
15.0,17.5,5.1,1,90.2,15.0,19.3,0.0,1,0,55.1,36.8,0,8,0
31.5,34.2,24.1,1,71.9,37.8,31.4,5.8,1,0,50.3,55.3,0,10,0
24.5,28.8,18.6,0,94.1,24.5,42.0,4.0,2,0,54.1,50.7,0,2,0
44.8,49.8,33.0,0,61.1,51.8,33.0,6.9,4,1,45.2,30.7,0,7,2
30.7,31.2,25.6,1,80.3,36.9,12.9,3.6,3,1,57.5,13.4,0,11,0
46.5,48.8,35.0,1,59.0,55.1,31.8,7.7,1,1,38.3,7.2,0,4,2
43.6,46.5,37.6,1,63.4,53.0,38.2,8.6,1,0,28.4,11.2,1,4,2
50.6,49.7,38.6,1,47.7,57.9,18.1,9.9,4,1,28.8,65.2,0,7,3
17.8,22.2,9.0,1,95.0,17.8,12.9,0.7,0,0,58.6,41.1,0,10,0
29.4,32.1,20.3,0,69.4,34.8,29.8,4.8,1,0,44.5,37.8,0,3,0
27.0,31.8,17.5,0,88.2,26.8,61.5,2.0,4,1,44.5,64.6,0,2,1
24.6,31.8,19.0,1,89.9,24.6,33.3,3.1,1,0,47.9,9.5,1,9,0
39.9,42.2,27.3,1,74.7,47.4,31.8,5.7,4,1,40.9,80.5,0,5,2
36.0,41.9,28.4,0,69.3,44.1,18.3,4.4,0,1,52.1,33.4,0,11,0
23.6,31.2,15.1,1,81.3,23.6,35.2,1.2,0,0,54.5,87.5,0,9,0
37.4,38.2,29.4,1,64.2,44.5,34.2,5.5,1,1,49.9,75.0,0,3,0
39.5,42.8,32.7,1,69.0,48.4,52.1,8.0,3,0,36.7,29.6,0,6,2
30.6,37.0,26.6,0,70.0,36.4,47.3,3.0,0,0,49.0,21.8,0,3,0
18.8,21.8,7.7,0,95.0,16.9,11.6,0.0,1,1,55.9,72.3,0,8,0
27.8,35.3,24.4,1,71.0,32.7,44.3,2.9,3,0,54.6,71.5,0,6,0
40.7,44.3,36.1,0,63.3,49.0,44.6,6.9,5,1,36.5,96.2,0,5,2
32.4,36.7,23.3,0,79.5,41.1,37.9,3.3,1,1,56.9,95.7,1,9,0
42.9,41.8,32.0,1,58.9,49.5,15.1,7.2,2,1,39.6,73.3,1,4,2
39.3,42.8,28.9,1,63.0,44.8,19.3,6.4,0,1,35.2,48.2,0,10,1
19.7,22.3,13.7,0,88.7,19.7,28.5,0.3,0,0,67.8,45.0,0,12,0
35.7,38.5,31.2,0,68.8,43.2,23.8,4.5,5,0,45.5,98.3,1,4,1
28.8,34.0,23.3,0,80.2,34.7,24.4,5.4,1,0,51.5,88.3,0,12,0
38.3,43.1,31.7,1,69.5,45.7,25.9,5.1,2,1,40.4,17.5,0,4,1
44.6,48.4,35.6,1,63.2,54.3,25.1,8.1,1,1,26.5,82.3,0,6,2
29.5,32.7,22.4,1,92.2,28.0,32.9,4.6,0,1,56.1,93.5,0,2,0
24.5,28.5,13.8,0,82.2,23.7,32.4,2.5,2,1,59.0,39.1,0,8,0
42.0,46.1,35.8,0,59.3,50.1,10.4,6.1,4,1,32.5,63.0,0,4,2
31.7,36.2,21.0,1,84.2,38.0,33.8,4.1,2,1,47.8,69.2,0,10,0
26.2,24.7,14.5,-1,84.2,24.2,26.4,3.2,3,1,55.4,15.6,0,10,0
35.8,37.0,28.7,1,63.8,40.9,19.4,4.4,0,1,53.6,90.5,0,11,0
43.7,46.0,38.4,0,60.7,51.6,25.2,7.3,3,1,29.9,22.5,0,7,2
17.4,20.6,13.9,1,87.1,17.4,32.1,0.7,2,0,56.8,11.1,0,12,0
16.8,19.1,11.9,0,95.0,16.8,15.0,1.6,1,0,72.1,52.4,1,11,0
28.9,36.1,22.3,1,75.9,34.6,24.6,5.2,6,0,54.1,28.8,0,4,1
21.8,23.2,13.3,0,92.7,22.1,34.0,1.2,1,1,55.3,70.3,0,3,0
36.8,39.4,30.5,-1,65.8,44.3,8.2,5.8,2,0,45.3,82.0,0,3,1
41.5,46.3,36.2,1,50.5,48.4,27.3,6.3,2,0,29.1,7.4,0,3,2
39.7,42.2,30.7,1,74.6,46.1,22.3,5.4,3,1,48.4,46.7,0,4,1
25.6,29.7,21.8,1,91.8,25.6,23.4,2.4,1,0,64.2,83.9,0,1,0
39.1,41.1,26.7,1,74.7,45.2,6.6,5.4,3,1,32.0,72.1,0,6,1
31.0,32.8,17.8,1,85.7,34.0,25.3,3.2,6,1,41.2,32.1,0,3,1
34.0,41.1,29.2,-1,71.6,41.1,30.3,3.9,1,0,44.4,96.4,1,12,0
42.1,49.3,37.7,1,49.8,49.1,14.3,5.9,4,0,45.2,98.4,0,6,2
23.7,26.2,17.5,0,94.0,22.7,32.6,2.7,3,1,61.6,38.7,0,3,0
29.8,32.8,20.1,0,81.6,28.9,22.5,2.4,1,1,55.4,80.2,0,12,0
39.7,43.7,36.5,1,56.9,46.9,25.3,6.4,1,0,47.7,70.7,1,4,1
22.1,26.3,10.6,-1,94.1,21.3,12.6,2.6,1,1,65.3,78.5,0,3,0
47.2,46.2,38.8,-1,54.7,54.0,27.9,7.9,3,1,41.9,57.7,0,4,2
38.7,42.2,32.6,1,64.8,45.6,7.7,5.9,0,1,36.1,11.8,0,3,1
33.0,36.7,29.6,1,76.4,40.3,18.0,4.9,1,0,41.7,81.4,1,6,0
24.8,25.3,13.4,-1,92.0,24.2,24.3,0.8,1,1,50.7,1.1,0,9,0
29.6,32.8,25.8,1,85.5,36.2,12.0,4.2,1,0,49.9,54.7,0,3,0
28.2,31.8,20.4,-1,74.7,28.0,12.5,4.5,1,1,55.2,20.5,0,1,0
44.8,45.8,31.8,0,70.3,52.5,30.6,8.3,3,1,33.7,33.7,0,6,2
19.2,24.1,13.3,-1,95.0,19.2,7.9,2.1,0,0,69.7,97.9,1,11,0
36.6,38.4,26.2,1,62.5,41.9,34.1,5.7,3,1,35.2,6.0,1,4,1
40.8,44.0,33.8,1,66.0,49.7,18.5,5.7,1,0,30.5,26.0,0,6,1
33.7,35.6,24.5,-1,77.8,39.2,15.5,3.0,4,1,41.1,51.6,0,7,0
15.0,17.7,10.4,-1,95.0,15.0,15.1,1.8,3,0,70.3,55.6,0,8,0
35.0,35.1,23.3,0,69.8,41.2,13.0,3.5,2,1,53.2,79.8,0,11,1
21.8,25.6,11.7,-1,88.6,22.4,22.3,1.7,0,1,60.0,99.7,0,9,0
19.3,21.5,9.9,1,95.0,19.3,31.0,2.0,0,0,59.5,64.3,0,9,0
18.6,21.3,9.4,0,85.3,18.6,22.8,2.8,3,0,65.6,11.3,0,2,0
32.1,36.8,23.8,1,81.7,39.1,18.9,5.4,0,1,48.1,5.9,0,2,0
37.9,43.9,30.6,1,74.3,46.8,21.3,7.6,6,0,41.1,87.7,0,4,2
24.0,28.1,17.7,-1,89.6,24.4,14.0,1.6,3,1,56.4,53.3,0,10,0
51.0,54.9,39.8,0,52.5,58.6,8.3,10.1,1,1,20.5,95.9,1,5,2
25.3,29.1,19.2,1,86.1,25.3,37.6,2.2,1,0,64.1,10.2,0,1,0
25.7,26.0,18.6,0,88.7,25.3,26.1,3.1,0,1,63.1,24.6,0,8,0
31.7,31.5,23.8,-1,84.8,37.1,34.5,4.7,4,1,55.2,63.3,1,6,1
32.7,38.2,23.3,0,74.7,39.7,12.9,4.7,0,0,52.4,34.1,0,10,0
38.4,42.8,30.5,1,64.7,44.4,15.8,4.5,0,1,35.2,12.2,0,11,1
23.8,24.1,13.7,1,92.2,23.3,18.7,3.1,1,1,63.2,69.6,0,11,0
28.8,29.8,18.9,1,72.5,29.1,22.9,2.2,0,1,47.3,34.5,0,9,0
33.0,40.5,26.3,1,68.9,39.6,29.0,5.3,0,0,49.1,8.3,0,3,0
31.0,37.4,26.4,1,70.3,36.9,14.4,3.4,5,0,55.0,76.3,0,6,0
48.2,53.4,40.5,1,42.1,55.4,42.8,7.6,2,0,28.5,43.8,0,4,2
51.0,53.7,40.4,-1,59.9,61.3,15.6,9.5,0,1,29.9,2.7,0,4,2
34.7,41.9,26.3,0,70.4,42.0,27.5,4.8,7,0,36.8,46.8,1,4,1
25.2,31.9,21.5,0,77.7,25.2,24.4,4.3,2,0,53.4,11.9,0,11,0
18.1,18.2,6.0,0,95.0,17.7,23.0,0.0,2,1,71.7,92.0,0,1,0
23.2,30.3,19.9,1,89.4,23.2,33.1,3.3,2,0,57.5,49.1,0,9,0
30.4,37.5,23.3,1,79.7,36.9,51.6,5.0,2,0,49.2,4.2,0,10,0
33.9,38.1,25.6,-1,67.7,40.8,15.2,6.3,9,1,38.2,33.5,1,4,1
24.2,28.5,18.4,1,91.1,24.1,12.1,1.4,0,1,61.4,92.2,0,8,0
39.9,40.5,31.4,1,62.9,47.6,34.6,5.0,0,1,41.2,52.7,0,3,1
35.0,37.1,22.1,1,76.9,39.4,28.4,3.8,1,1,43.2,81.0,0,1,0
31.1,38.6,24.8,1,77.0,37.7,27.2,3.7,0,0,42.6,85.5,0,9,0
22.0,24.3,12.3,1,95.0,20.6,45.3,2.0,3,1,51.8,84.0,0,1,0
23.1,26.3,11.8,-1,83.0,22.8,34.2,0.8,1,1,55.4,58.4,0,9,0
35.3,37.9,26.1,-1,64.6,42.1,28.8,6.8,0,0,41.9,99.0,1,8,1
39.3,42.8,36.0,0,66.3,47.7,23.3,7.3,2,0,31.7,37.5,1,6,2
24.9,27.3,13.6,1,80.7,24.8,8.5,1.8,1,1,47.7,95.2,0,8,0
49.7,55.2,41.2,0,43.7,57.4,26.9,8.4,4,1,24.1,59.8,1,7,3
27.4,32.8,21.6,1,73.5,32.4,31.7,3.4,2,0,54.2,64.6,1,2,0
20.2,20.3,12.5,-1,86.4,19.3,28.1,1.8,0,1,57.2,86.6,0,3,0
38.4,42.5,29.8,1,63.1,46.1,28.8,5.6,2,0,49.7,62.8,1,6,1
16.9,21.5,11.3,0,95.0,17.5,46.0,0.0,0,1,72.1,82.9,0,9,0
30.8,35.6,25.2,1,70.7,36.7,23.2,3.0,5,0,57.1,6.2,0,6,0
25.9,26.3,12.1,0,83.5,24.5,22.8,3.3,4,1,58.9,34.2,0,2,1
22.2,24.5,12.6,-1,85.0,22.2,25.1,3.6,1,0,64.4,46.7,0,12,0
32.0,33.6,25.9,1,86.3,38.8,22.1,3.9,3,1,48.3,17.8,0,12,0
45.2,48.7,33.5,1,50.2,52.5,41.0,8.8,1,1,31.2,94.9,1,7,2
38.3,45.0,35.0,0,64.2,46.1,25.4,5.1,2,0,41.5,20.9,0,6,1
21.1,28.1,11.3,0,90.1,21.1,30.7,3.2,1,0,59.8,35.1,0,3,0
15.8,20.6,8.4,0,90.6,15.8,31.3,0.7,2,0,62.6,60.8,0,2,0
46.6,50.2,41.8,1,44.6,53.9,46.1,8.6,1,0,40.5,79.4,0,4,2
17.7,20.6,6.1,1,95.0,17.9,30.5,0.0,2,1,58.2,70.6,0,1,0
19.6,20.3,12.6,1,95.0,17.4,14.4,2.2,0,1,61.8,96.2,0,2,0
18.5,17.8,9.2,1,94.6,18.0,7.8,0.0,0,1,58.5,92.0,0,2,0
26.4,28.4,19.0,-1,84.0,26.7,33.1,3.5,2,1,46.8,78.8,0,10,0
32.9,40.2,24.2,0,79.2,40.3,22.0,4.0,5,0,43.4,90.5,1,4,1
27.1,30.0,15.5,0,94.4,26.3,11.4,3.0,1,1,44.8,53.5,0,1,0
22.5,25.4,15.1,1,93.0,22.5,21.4,2.7,1,0,67.1,76.8,1,8,0
17.1,21.6,13.0,1,89.4,17.1,25.0,0.2,1,0,57.6,10.3,0,10,0
22.2,28.2,16.1,1,95.0,22.2,29.5,3.5,0,0,50.5,52.8,0,10,0
24.4,24.9,17.4,1,83.4,24.2,25.6,1.3,4,1,46.9,59.7,1,8,1
29.6,31.2,21.2,1,72.8,28.5,18.9,3.1,1,1,42.7,10.2,0,1,0
32.7,36.7,20.9,1,75.8,38.3,18.5,4.1,3,1,47.2,60.3,0,7,0
24.1,28.3,15.2,1,88.9,22.5,10.8,0.7,1,1,63.2,29.2,0,9,0
23.8,25.1,14.4,1,95.0,22.2,16.0,1.4,3,1,62.7,14.9,0,12,0
20.6,20.4,12.9,1,95.0,20.6,26.5,2.3,0,1,49.5,34.0,0,11,0
45.3,47.4,39.1,-1,64.1,54.8,45.4,6.8,4,1,25.2,43.7,0,6,3
20.8,25.8,13.2,1,90.1,20.8,22.6,0.7,0,0,60.6,5.3,0,10,0
28.3,33.1,18.7,-1,83.7,27.6,25.7,3.7,0,1,47.7,7.6,0,3,0
33.6,35.8,30.5,-1,72.5,40.7,38.0,6.0,2,0,37.8,23.3,0,11,0
17.5,22.5,8.9,1,95.0,18.1,10.4,0.0,2,1,60.8,24.7,0,8,0
44.2,49.9,40.5,1,51.5,51.9,17.8,8.0,6,0,38.7,67.2,1,7,3
22.5,23.4,13.9,1,83.7,23.0,23.0,2.5,3,1,60.8,11.6,0,1,0
32.8,36.4,24.2,1,77.4,40.5,35.2,4.6,1,1,41.9,87.5,0,3,0
22.2,26.5,16.5,1,81.6,22.2,5.7,3.7,1,0,48.7,88.6,0,8,0
44.4,48.2,37.5,1,48.6,52.4,13.8,6.9,3,1,38.4,24.6,1,5,2
24.9,31.5,15.7,0,84.3,24.9,13.8,2.2,2,0,52.1,90.1,0,11,0
41.8,45.1,29.1,1,58.0,47.6,24.9,6.9,2,1,33.4,19.9,1,7,2
19.5,20.9,12.5,0,90.1,20.8,17.3,0.7,1,1,66.3,69.7,0,1,0
21.1,27.9,12.6,1,89.1,21.9,24.4,2.5,2,1,56.1,80.6,0,2,0
31.9,34.9,21.5,1,78.4,38.2,23.1,5.4,2,1,53.9,32.5,0,2,0
33.9,36.9,25.4,0,68.5,40.0,9.2,6.2,1,1,42.7,64.4,0,9,0
23.2,30.1,15.9,1,92.9,23.2,14.0,2.0,1,0,46.8,38.9,0,10,0
23.9,26.3,19.3,1,95.0,24.9,9.6,3.1,0,1,54.1,47.7,0,9,0
15.2,20.4,9.6,0,95.0,15.2,22.4,0.9,0,0,59.2,34.9,0,12,0
37.7,44.9,32.7,0,60.2,44.8,17.4,7.1,5,0,47.4,48.4,0,4,1
29.0,32.0,19.4,1,85.7,27.9,21.3,3.9,1,1,45.4,86.9,0,10,0
26.2,28.6,20.1,1,91.1,26.2,28.5,3.3,1,0,60.9,79.2,0,2,0
41.1,45.4,35.0,1,68.6,50.1,18.2,7.9,4,1,31.2,92.3,1,4,2
43.2,47.4,35.1,1,62.4,52.1,9.0,6.2,1,1,44.2,84.8,0,9,2
36.0,38.8,28.0,1,74.9,44.3,11.1,7.0,1,0,41.8,23.4,0,9,1
33.7,37.4,22.0,0,67.9,36.8,20.0,5.1,1,1,54.4,95.1,0,3,0
20.5,21.2,12.2,-1,95.0,19.6,23.9,1.0,3,1,59.7,85.7,0,2,0
33.4,33.9,21.3,0,78.8,36.9,17.2,5.5,2,1,47.5,37.3,0,4,0
34.6,37.3,27.0,1,79.2,42.8,27.0,4.0,2,1,36.4,90.5,0,3,0
34.1,41.7,24.9,0,68.2,41.0,25.2,5.4,3,0,36.0,21.1,0,6,0
40.6,42.8,34.1,-1,63.9,48.8,19.1,7.7,5,1,34.5,26.6,0,7,2
