rainfall_mm,rainfall_7day_avg,rainfall_intensity,river_level_m,river_level_change,soil_moisture_percent,elevation_m,temperature_celsius,humidity_percent,wind_speed_kmh,distance_to_river_km,month,flood_risk
29.13,27.95,4.27,1.56,-0.06,20.32,138.04,30.33,62.84,30.08,3.92,1,0
17.1,35.98,3.71,4.89,-0.02,29.67,231.06,23.55,83.55,23.58,8.44,6,0
154.58,104.77,18.11,9.75,1.11,88.38,21.85,30.9,93.36,6.89,2.0,7,2
378.49,241.71,32.93,11.35,3.56,86.65,25.74,28.58,60.35,11.82,0.78,7,3
0.22,10.95,2.99,4.2,-0.39,24.42,468.84,28.03,86.92,20.01,15.77,11,0
20.32,12.96,0.43,3.53,0.09,53.93,149.11,28.93,84.64,36.87,17.9,5,0
67.23,63.28,7.94,5.62,0.6,69.96,57.09,18.3,86.23,27.42,2.67,5,1
323.88,216.36,21.73,13.24,3.18,89.57,9.15,21.16,71.49,36.22,0.31,7,3
39.2,16.78,2.5,4.14,-0.02,28.04,336.09,25.98,60.99,12.35,9.93,1,0
20.24,39.26,0.79,3.69,-0.31,40.01,420.2,31.69,74.92,39.98,11.31,6,0
0.88,11.73,3.87,3.07,-0.22,34.87,100.54,28.99,94.1,34.65,8.1,9,0
148.12,90.03,12.27,9.16,2.36,78.58,32.39,18.43,87.5,16.25,2.44,6,2
74.56,70.76,11.04,6.09,0.67,61.76,91.69,21.11,91.31,10.18,2.76,8,1
1.66,20.11,1.57,1.72,0.1,28.18,375.04,26.7,92.69,6.31,8.94,8,0
83.33,64.92,9.08,6.12,0.92,70.01,70.54,31.39,63.66,31.26,2.62,8,1
75.59,43.05,9.59,6.47,0.4,74.04,145.57,32.35,63.45,39.77,4.5,9,1
39.4,36.13,1.34,4.25,-0.43,44.0,294.26,33.75,90.5,32.48,12.28,4,0
154.18,105.34,14.03,10.45,2.48,78.85,23.37,28.54,93.59,13.83,2.13,6,2
52.49,59.92,8.88,6.68,0.79,62.66,75.22,34.1,64.76,22.42,4.34,2,1
76.48,51.23,9.64,7.94,0.74,73.22,82.91,33.41,86.49,39.35,2.92,7,1
100.43,68.08,8.16,6.57,0.66,70.37,54.79,27.9,66.93,6.72,3.98,1,1
166.36,127.37,15.32,9.77,1.08,89.79,68.0,29.8,66.51,6.09,2.24,9,2
203.17,180.66,26.43,12.7,3.77,98.0,22.95,25.04,65.17,15.62,0.87,6,3
77.19,72.83,8.16,6.81,0.93,72.99,139.04,18.59,69.14,14.75,2.45,10,1
77.99,56.57,6.97,6.87,0.55,72.46,146.29,20.77,60.5,20.35,4.77,1,1
25.36,1.66,0.74,4.95,0.27,20.2,480.72,32.75,75.92,23.05,13.87,2,0
74.51,52.85,6.73,6.23,0.76,63.33,146.54,26.16,62.98,5.79,1.94,5,1
141.75,136.3,17.33,8.14,1.2,77.86,34.7,19.51,72.27,36.9,1.96,7,2
4.35,8.09,2.73,1.83,-0.06,29.26,439.57,22.17,88.43,17.0,9.75,1,0
314.66,162.91,37.67,11.85,3.03,96.43,10.69,22.58,81.24,9.31,0.19,7,3
121.54,86.73,19.92,8.84,2.46,77.74,41.67,29.18,80.34,23.55,2.01,8,2
56.54,60.31,6.14,6.25,0.88,74.81,81.8,26.69,93.4,21.75,3.36,5,1
6.73,3.78,4.16,4.67,0.02,24.14,260.81,31.26,64.14,5.0,15.39,3,0
119.82,51.68,9.42,5.01,0.72,66.71,103.03,21.01,86.95,24.44,3.4,12,1
175.96,107.95,16.1,8.41,1.51,77.82,69.27,27.13,85.47,9.25,2.33,8,2
81.59,74.77,8.71,6.4,0.59,72.26,139.51,29.45,64.81,14.69,4.49,7,1
9.39,22.61,0.25,4.2,-0.15,47.97,169.85,28.1,86.45,15.41,13.92,12,0
5.21,32.0,0.89,3.61,-0.31,23.98,197.27,32.55,89.06,18.9,15.28,5,0
16.19,38.64,4.56,4.8,0.16,34.07,462.35,23.95,69.12,24.14,19.69,4,0
78.8,76.87,8.5,7.13,0.45,71.41,122.1,18.57,75.66,28.77,4.66,9,1
37.98,23.32,0.27,1.34,-0.34,25.73,231.75,28.24,80.57,9.12,12.84,11,0
90.86,47.34,9.22,5.17,0.73,68.31,115.53,32.46,94.32,39.17,4.63,4,1
55.98,50.47,5.88,5.67,0.37,74.31,77.86,33.28,83.71,26.63,3.05,9,1
43.24,9.99,0.42,4.28,0.12,31.79,136.06,31.11,93.77,14.07,6.51,5,0
8.93,19.72,0.41,1.78,0.26,59.06,250.5,27.26,69.44,29.58,18.7,12,0
161.03,132.18,15.22,10.91,2.4,86.12,36.76,32.53,65.79,34.9,0.76,7,2
130.28,96.05,17.45,10.95,2.2,86.66,40.56,19.92,94.73,21.82,1.82,8,2
252.27,249.4,39.34,13.18,3.22,92.1,27.89,29.98,62.88,17.45,0.97,7,3
43.02,7.94,0.02,4.48,-0.24,36.58,278.53,23.74,91.23,26.59,17.42,10,0
121.18,102.75,14.7,8.06,1.19,81.2,49.57,27.03,80.83,5.35,1.31,7,2
8.63,22.72,1.48,4.75,0.15,59.34,203.87,25.33,72.16,6.76,19.49,4,0
10.51,11.81,4.24,2.52,-0.27,52.24,112.77,32.85,74.35,14.43,13.1,8,0
107.39,60.69,6.62,6.99,0.86,64.79,114.53,23.81,91.82,36.9,2.01,2,1
77.7,51.95,11.07,7.24,0.9,67.42,63.09,21.5,75.44,7.28,3.94,3,1
78.26,68.51,11.42,7.0,0.63,71.69,114.1,19.63,61.33,20.99,1.71,4,1
22.81,7.38,1.86,3.09,-0.46,48.59,317.32,22.62,91.62,39.95,17.09,5,0
8.65,24.66,2.82,1.7,0.29,36.87,138.83,27.93,94.27,25.02,5.05,6,0
5.87,7.19,4.85,3.21,-0.13,59.38,322.78,23.66,73.37,25.8,14.24,8,0
139.67,123.73,17.98,9.19,1.32,82.82,75.28,20.94,83.9,19.95,1.78,7,2
144.33,128.7,14.35,9.34,2.09,85.39,79.24,29.26,81.34,37.03,0.95,6,2
49.81,14.23,2.14,4.24,-0.43,35.46,134.28,18.08,60.33,18.31,5.37,1,0
32.84,38.74,3.02,1.31,-0.44,58.06,218.92,28.18,81.83,27.7,4.57,5,0
98.76,50.85,7.08,7.53,0.31,69.55,89.39,29.18,89.21,24.54,2.54,3,1
21.81,38.88,0.19,2.26,-0.25,45.34,142.32,19.62,63.32,30.49,13.69,7,0
0.5,28.94,2.68,4.34,0.16,53.73,294.04,31.46,75.8,11.42,8.67,2,0
49.54,9.9,2.53,4.38,-0.31,36.61,346.04,25.81,72.69,25.53,11.18,2,0
397.64,166.72,42.71,11.28,3.44,96.54,27.44,22.98,73.13,22.81,0.68,7,3
29.55,20.15,3.23,4.89,-0.46,42.96,445.21,19.33,79.62,16.62,11.18,6,0
55.96,41.86,8.64,5.74,0.37,66.36,141.51,31.87,90.52,39.04,4.03,9,1
116.15,72.95,9.47,5.19,0.76,73.67,87.94,23.32,79.95,27.69,4.43,6,1
66.65,43.87,10.61,6.62,0.41,67.07,56.84,23.79,63.62,11.43,3.53,2,1
136.55,134.01,16.18,8.34,1.6,78.1,31.98,29.42,91.91,22.58,1.51,9,2
135.45,108.28,15.78,9.13,1.78,81.2,31.96,19.23,80.15,34.88,1.32,8,2
197.77,92.89,13.5,9.36,2.12,79.22,21.19,34.26,73.69,19.7,1.58,9,2
97.53,73.29,8.21,6.78,0.49,69.69,148.6,33.07,79.68,13.82,1.67,12,1
59.14,57.62,7.22,7.74,0.34,70.41,68.28,25.06,91.78,13.49,2.62,6,1
194.17,131.24,18.64,8.21,2.19,86.75,27.88,25.69,91.5,29.34,1.82,9,2
4.67,11.19,1.61,4.88,0.03,37.04,495.22,26.09,82.65,6.95,5.6,4,0
100.13,44.38,6.89,5.14,0.6,72.41,52.47,33.85,68.29,29.28,3.86,2,1
12.42,30.36,0.59,2.48,-0.38,30.32,161.07,30.44,79.63,12.85,18.08,9,0
106.62,54.47,8.67,7.01,0.49,64.16,143.34,27.81,82.67,6.03,4.03,8,1
80.48,78.12,10.03,7.79,0.67,63.88,55.28,20.06,70.6,23.64,4.04,12,1
24.98,21.14,3.46,3.84,-0.2,36.54,249.48,25.71,91.14,29.37,12.12,7,0
93.01,75.7,5.55,5.99,0.47,74.82,88.94,29.64,67.42,13.36,4.06,6,1
116.61,77.79,10.46,6.81,0.62,65.34,144.71,27.84,68.12,6.63,3.61,9,1
86.76,62.14,7.72,7.99,0.98,74.43,147.91,34.81,91.23,19.56,4.28,6,1
71.44,53.04,5.5,6.05,0.9,63.5,119.52,32.68,64.63,39.22,3.7,4,1
86.55,60.76,7.71,6.41,0.74,73.99,109.59,32.67,78.16,17.16,4.5,9,1
8.84,21.79,2.77,1.91,0.07,49.32,108.39,33.13,78.21,17.17,9.73,10,0
445.1,200.0,43.75,11.54,2.55,85.51,25.56,34.3,64.97,15.67,0.19,8,3
243.89,159.53,42.88,12.4,2.63,92.78,26.06,34.53,79.04,24.59,0.19,7,3
36.31,20.4,0.65,4.0,-0.42,53.56,472.57,33.74,87.76,37.29,8.48,9,0
89.93,79.89,11.86,6.61,0.62,66.93,92.83,22.65,92.44,22.16,3.36,3,1
46.4,26.92,4.01,1.2,-0.02,41.1,217.2,27.86,84.73,6.16,7.46,9,0
91.65,44.06,5.02,5.14,0.98,61.89,54.44,28.0,93.2,29.5,2.58,3,1
362.9,172.67,43.24,13.22,3.07,89.93,11.98,26.79,91.36,17.13,1.46,9,3
92.74,60.47,7.72,6.37,0.99,71.25,93.06,26.49,83.08,21.31,3.1,5,1
54.36,76.88,6.24,6.59,0.86,63.23,102.74,30.91,79.75,34.96,2.34,4,1
48.92,38.63,1.98,3.91,-0.22,46.84,422.17,24.8,87.42,14.31,19.09,11,0
35.02,28.11,2.74,1.36,-0.22,22.04,291.04,18.04,69.33,33.0,18.41,3,0
360.37,236.46,36.9,12.07,3.53,93.78,38.61,32.87,92.34,28.46,0.46,9,3
138.93,136.93,16.6,10.28,1.13,82.39,74.06,18.8,70.63,20.52,2.25,6,2
68.5,51.49,8.58,7.42,0.33,69.05,130.68,18.26,70.94,25.59,2.05,7,1
159.18,125.75,18.67,9.04,2.34,82.06,51.67,32.34,72.66,5.36,2.5,8,2
31.04,35.28,1.76,3.21,0.01,36.59,461.34,20.13,65.04,36.18,9.17,5,0
120.91,122.22,19.76,9.31,1.35,85.57,69.03,34.44,61.81,22.67,1.59,8,2
9.06,27.24,0.91,3.1,0.07,24.28,326.92,34.37,76.92,33.21,7.36,1,0
38.33,2.36,4.2,4.77,0.04,28.52,244.04,28.28,83.4,24.4,11.11,4,0
180.8,100.94,15.63,9.78,2.46,79.91,75.39,34.81,83.46,21.22,1.04,8,2
127.51,110.76,16.51,9.48,2.1,80.76,76.7,27.71,88.89,14.63,1.46,6,2
197.86,98.15,17.55,8.03,1.28,85.34,23.95,29.26,86.81,20.88,1.44,8,2
199.81,91.47,15.68,9.29,1.46,77.97,23.94,25.14,77.39,37.09,2.27,8,2
54.36,60.38,11.98,7.44,0.73,64.59,112.39,25.24,64.57,36.03,3.34,3,1
101.68,53.42,10.36,6.3,0.64,69.72,51.84,28.52,70.84,8.0,3.79,12,1
43.75,22.31,1.66,2.38,-0.27,38.22,234.82,31.15,83.61,15.31,12.32,9,0
133.46,130.01,13.56,10.68,1.69,85.15,49.83,22.94,94.43,38.63,0.69,7,2
439.91,202.08,44.83,13.31,3.53,90.06,25.75,34.89,77.17,34.26,0.82,8,3
104.04,73.13,6.19,7.69,0.76,73.23,98.53,33.62,91.5,20.69,3.4,9,1
369.85,243.04,40.67,13.53,3.64,89.97,37.71,27.16,75.61,24.77,0.7,7,3
60.2,57.98,9.12,7.85,0.48,65.39,87.94,24.06,78.67,32.36,3.62,8,1
28.77,4.93,3.45,3.93,-0.47,47.03,265.88,25.14,66.8,19.54,5.11,9,0
328.89,213.8,21.68,11.16,3.67,96.53,23.5,31.79,62.65,12.07,1.33,8,3
36.22,5.67,2.34,2.43,-0.06,48.26,373.89,25.89,73.92,35.17,11.76,12,0
92.32,46.29,11.29,6.4,0.56,61.9,66.8,25.76,85.28,7.82,4.72,3,1
257.66,172.05,41.27,12.38,2.55,91.43,7.96,28.0,68.98,24.73,1.48,6,3
329.76,214.53,27.8,13.32,4.05,91.78,39.16,18.29,86.96,33.25,0.28,6,3
81.96,72.73,8.83,7.66,0.8,68.29,125.45,18.46,62.92,20.31,1.63,8,1
99.34,46.22,9.55,5.25,0.43,67.14,115.36,21.15,67.16,13.35,2.01,12,1
8.52,19.99,2.97,1.59,-0.18,56.18,499.56,32.99,73.81,29.03,19.78,3,0
20.98,14.28,3.5,3.43,-0.48,27.91,291.25,26.78,85.02,28.87,10.57,8,0
54.04,42.81,11.09,6.37,0.62,74.17,82.02,34.56,68.46,22.99,4.64,3,1
273.74,192.3,38.92,13.07,4.23,97.96,19.94,18.52,85.44,35.59,0.26,6,3
142.84,89.42,15.59,9.07,2.02,89.5,41.78,33.26,61.33,38.35,0.62,8,2
97.28,52.95,5.56,6.75,0.96,67.28,140.61,20.51,84.79,20.24,4.42,8,1
408.12,169.79,30.69,11.72,2.51,87.44,5.14,25.23,70.94,31.66,1.11,8,3
67.65,52.99,10.84,7.29,0.53,68.01,56.17,26.26,63.01,34.52,2.23,8,1
10.0,18.78,4.56,1.04,0.13,22.3,291.29,29.67,62.05,19.65,13.84,10,0
95.51,52.88,5.29,6.49,0.31,74.26,129.67,22.89,94.4,18.07,2.17,6,1
45.61,35.71,3.27,3.69,-0.5,59.39,451.13,29.21,72.07,36.28,18.22,1,0
12.89,23.44,1.6,3.0,-0.2,45.62,294.86,29.04,74.77,16.96,3.08,2,0
72.81,71.42,11.3,5.66,0.74,65.88,148.95,21.88,73.37,27.88,3.18,5,1
258.92,239.91,27.74,13.93,3.06,97.39,6.87,27.05,76.73,12.82,1.09,8,3
129.59,107.07,19.29,10.44,1.78,86.57,51.36,20.12,66.59,17.28,0.82,9,2
15.63,6.65,0.69,2.35,0.14,28.04,312.57,22.1,92.35,35.33,15.73,4,0
7.7,33.6,0.32,2.16,-0.25,26.44,303.27,23.12,92.68,15.87,3.2,8,0
12.15,9.94,1.89,4.27,0.23,28.09,317.18,26.87,75.19,11.72,13.83,11,0
61.59,56.2,11.3,5.5,0.76,63.07,91.57,27.81,81.09,27.4,3.39,5,1
44.06,10.27,2.96,4.74,0.04,36.58,375.81,22.71,94.88,31.28,8.85,11,0
97.43,54.92,11.59,5.5,0.65,70.36,119.71,22.68,65.47,27.26,3.77,4,1
134.22,131.71,16.3,10.63,1.23,86.43,60.84,31.78,82.69,35.7,1.59,7,2
9.01,3.93,4.02,1.49,-0.4,54.02,237.84,18.88,64.98,12.47,3.52,4,0
23.13,29.9,0.18,2.01,0.07,55.81,304.67,19.82,75.66,23.64,12.05,9,0
156.52,88.97,19.44,9.38,1.27,79.54,23.05,32.5,92.68,37.64,1.44,6,2
32.07,7.44,1.51,2.94,-0.16,24.24,475.29,30.75,62.5,21.36,3.75,6,0
54.22,43.26,9.5,6.4,0.98,70.18,51.01,25.05,63.73,37.31,3.18,1,1
60.09,76.81,8.09,7.98,0.59,69.12,60.48,22.06,89.24,32.44,3.09,12,1
43.11,13.7,4.73,1.29,-0.11,43.88,199.06,28.66,60.63,26.29,16.11,4,0
23.73,8.01,1.62,4.92,-0.43,48.9,169.18,26.52,65.64,38.79,3.13,8,0
21.89,9.23,1.46,4.09,-0.44,53.1,271.07,19.52,71.81,8.14,13.13,1,0
108.76,79.27,9.35,6.68,0.74,67.99,113.51,21.71,64.21,7.39,3.07,1,1
36.94,38.4,3.39,3.28,0.26,37.72,339.72,33.86,62.66,22.54,11.1,6,0
161.72,87.48,19.69,9.91,2.15,76.19,22.82,21.21,74.5,37.75,0.54,7,2
178.68,86.97,18.25,10.36,1.9,89.86,39.52,33.55,60.4,20.75,2.38,9,2
19.46,35.33,0.46,3.17,-0.43,38.81,150.72,21.24,68.93,14.67,4.37,3,0
9.23,30.4,1.03,3.78,-0.36,23.64,200.44,29.0,65.63,37.56,7.84,12,0
1.49,37.34,2.63,3.15,0.12,32.59,292.76,29.43,65.38,9.66,19.47,2,0
72.87,73.11,6.9,7.9,0.62,72.63,69.44,29.89,64.84,9.65,2.94,2,1
195.23,106.83,17.25,9.17,1.53,81.47,64.58,31.84,86.08,5.72,1.5,8,2
5.21,33.62,4.55,1.49,-0.31,26.62,174.53,23.65,70.9,12.96,17.24,5,0
48.07,26.71,4.67,2.06,-0.01,47.14,227.02,34.1,90.97,30.87,17.42,10,0
20.48,12.45,3.39,3.42,-0.21,28.72,495.21,29.7,64.92,22.0,10.72,8,0
190.01,81.6,16.5,8.64,1.51,86.77,31.52,29.13,93.39,32.13,1.78,8,2
298.37,217.88,21.75,13.79,3.19,91.81,9.85,29.44,61.89,10.43,1.42,7,3
7.7,36.39,4.69,1.05,0.08,32.37,249.88,25.26,78.02,25.38,10.97,12,0
166.17,133.44,16.78,10.43,1.64,86.25,74.78,21.07,69.41,11.95,1.64,6,2
440.51,195.99,31.32,11.84,4.42,86.86,25.29,22.74,74.17,39.96,0.5,6,3
167.04,96.61,15.18,10.04,2.34,75.62,24.29,21.96,69.27,12.74,1.15,6,2
7.73,35.46,1.37,1.55,-0.4,48.0,102.43,20.02,89.74,38.55,11.01,4,0
158.12,139.77,12.48,8.01,1.96,79.48,34.42,22.35,61.08,39.0,1.12,6,2
130.29,81.1,17.52,8.9,1.94,77.26,48.14,27.95,77.96,22.35,1.51,7,2
265.54,163.41,22.01,12.69,2.53,90.35,7.57,18.68,89.23,12.34,0.67,7,3
118.29,64.31,10.47,6.35,0.67,66.43,120.29,26.63,76.83,16.91,4.48,1,1
55.37,77.34,9.18,7.79,0.74,66.47,106.69,23.54,93.48,21.31,4.4,6,1
13.26,17.28,5.0,1.88,-0.42,43.4,295.42,29.34,69.35,36.87,11.91,12,0
99.17,62.39,5.07,5.98,0.66,61.32,85.06,19.34,73.89,9.65,1.62,7,1
106.16,51.27,9.38,6.23,0.46,67.71,129.75,32.39,71.85,32.77,4.41,4,1
8.73,28.3,3.56,4.59,-0.03,24.96,148.57,21.12,71.49,22.05,15.26,9,0
6.41,30.26,3.45,3.44,-0.47,50.51,356.76,27.98,70.64,18.35,19.39,2,0
144.8,93.92,15.67,10.34,2.44,86.45,71.31,32.2,87.45,18.19,1.71,7,2
88.63,55.54,10.91,5.01,0.66,63.26,124.35,32.14,89.33,34.15,1.65,4,1
356.2,195.08,29.59,12.62,3.26,89.68,21.24,21.06,79.48,34.5,0.49,6,3
194.55,107.54,13.95,10.75,1.71,81.12,41.2,29.45,75.18,16.35,1.35,8,2
47.3,33.69,1.48,1.31,-0.36,25.08,149.31,22.18,72.53,39.63,11.82,5,0
21.82,23.27,2.61,2.32,-0.07,58.35,182.41,18.74,62.32,24.31,14.13,1,0
102.01,76.67,10.96,6.53,0.8,72.01,99.35,25.44,89.49,25.88,1.9,5,1
101.01,70.45,10.4,6.99,0.45,66.06,127.61,19.34,78.74,15.94,4.84,7,1
320.95,193.95,22.99,13.41,2.99,96.69,36.88,26.84,83.7,32.25,1.42,6,3
25.07,1.74,1.74,1.72,0.02,38.57,298.13,34.25,67.52,23.08,10.27,2,0
96.5,63.91,6.42,6.28,0.79,68.06,51.86,32.36,69.12,26.58,4.84,1,1
31.0,13.61,4.28,2.74,-0.35,27.64,407.51,31.04,67.21,16.26,7.51,3,0
44.4,32.34,2.6,3.9,-0.21,21.47,461.73,34.11,80.02,15.69,5.17,3,0
48.55,5.1,0.88,1.67,-0.03,56.7,202.04,20.99,82.09,9.31,12.4,2,0
32.53,30.61,4.63,2.75,0.22,55.12,226.88,24.39,70.39,27.72,17.77,5,0
3.75,35.83,4.01,1.56,0.12,45.03,263.66,32.62,84.51,24.17,7.32,4,0
101.61,55.82,5.22,6.52,0.82,74.65,53.7,25.65,68.49,27.32,3.39,5,1
27.64,10.13,4.78,1.11,-0.34,29.69,265.63,26.35,90.54,29.92,6.96,10,0
18.71,24.83,3.81,3.94,0.15,21.29,119.09,27.06,80.23,6.84,16.42,11,0
306.74,196.4,23.67,12.65,2.79,92.95,37.66,31.0,60.82,18.14,0.37,6,3
154.5,102.74,19.32,8.75,2.27,82.26,50.85,27.74,71.38,6.37,1.12,6,2
55.15,47.59,7.36,5.23,0.43,73.67,51.93,24.53,83.54,25.6,3.79,6,1
52.66,69.15,8.7,5.61,0.38,65.75,133.72,28.25,85.46,9.03,4.53,11,1
179.32,82.4,17.41,9.92,2.45,89.5,42.67,20.4,62.33,20.15,1.68,8,2
25.53,16.67,1.1,3.88,0.01,23.99,470.15,22.25,67.22,9.76,12.49,6,0
53.75,45.62,9.36,5.62,0.65,68.17,78.35,32.32,85.28,7.73,4.82,9,1
158.64,133.79,19.86,9.2,1.62,81.12,39.47,30.9,76.75,6.56,2.06,7,2
63.75,72.18,7.14,5.94,0.91,68.39,138.73,23.85,77.72,7.15,2.95,4,1
44.37,39.03,2.79,3.26,-0.26,43.38,275.86,19.14,68.84,11.92,8.14,4,0
47.51,17.84,0.93,3.17,0.2,49.29,422.62,29.77,89.72,13.74,14.2,9,0
60.26,76.07,10.64,5.21,0.47,72.29,130.3,34.96,94.17,19.35,4.81,9,1
411.79,179.04,43.92,13.03,3.47,91.41,7.91,28.24,79.38,12.45,0.23,9,3
182.03,111.49,14.28,10.43,1.28,79.35,31.04,29.67,82.84,19.55,1.85,6,2
439.73,232.13,29.1,11.22,3.64,92.26,34.75,26.64,72.08,11.51,1.49,6,3
57.34,60.92,9.01,5.85,0.99,65.03,71.03,24.43,84.24,13.1,1.89,5,1
89.92,48.4,10.2,5.08,0.55,71.7,106.39,29.81,79.86,32.87,2.41,10,1
19.54,31.93,1.86,2.81,-0.18,23.74,276.43,21.17,63.29,17.48,6.33,9,0
58.4,76.67,10.04,6.2,0.41,73.23,132.38,22.62,74.09,8.6,4.03,1,1
0.4,30.35,3.13,4.27,-0.14,51.99,359.03,22.31,77.29,26.65,3.06,2,0
152.81,116.86,16.23,9.14,1.58,83.33,28.47,25.6,94.48,17.3,1.27,8,2
106.39,77.85,9.81,7.2,0.93,74.05,99.13,25.93,79.46,27.1,1.88,5,1
148.8,84.6,15.41,9.33,2.0,79.73,60.96,22.04,94.26,18.52,2.24,6,2
81.44,53.4,8.74,6.36,0.33,63.91,71.31,28.18,86.73,38.49,4.54,9,1
87.61,62.5,11.23,6.07,0.45,66.84,70.81,33.36,81.61,34.94,3.24,7,1
31.87,21.43,2.98,2.89,-0.28,58.11,134.56,23.29,77.94,8.81,18.96,1,0
350.9,242.73,25.09,11.44,4.21,93.85,11.53,31.61,75.89,28.47,0.48,7,3
170.27,106.32,12.31,9.5,2.15,78.98,68.41,32.0,62.98,35.32,1.0,7,2
102.46,65.84,8.31,5.15,0.82,65.45,72.45,31.15,93.68,13.97,4.82,12,1
188.3,94.52,19.69,8.59,2.43,89.92,62.7,27.68,69.08,20.29,2.46,7,2
76.02,75.7,6.02,6.69,0.98,65.18,124.18,21.17,94.74,33.33,4.59,3,1
66.66,69.82,8.12,7.04,0.9,68.04,83.6,22.51,91.2,7.5,4.19,3,1
122.49,132.21,13.11,8.38,1.26,89.4,61.59,24.76,71.77,13.21,2.1,7,2
35.03,38.07,3.55,2.78,-0.36,38.44,342.71,26.67,64.56,20.83,8.63,2,0
119.91,48.05,8.66,6.04,0.67,63.48,54.76,23.71,66.37,16.34,3.5,10,1
39.7,24.8,2.67,4.58,0.13,26.07,224.69,30.65,61.17,24.95,7.22,10,0
